episode,mission,number,x_position,y_position
2,1,0,128,-64
2,1,1,128,-128
2,1,2,-128,-128
2,1,3,-128,-64
2,1,4,-128,64
2,1,5,-64,128
2,1,6,64,128
2,1,7,128,64
2,1,8,-64,384
2,1,9,64,384
2,1,10,128,-320
2,1,11,-128,-320
2,1,12,184,-424
2,1,13,-184,-424
2,1,14,128,384
2,1,15,-128,384
2,1,16,128,640
2,1,17,296,520
2,1,18,256,320
2,1,19,416,472
2,1,20,384,288
2,1,21,576,448
2,1,22,576,256
2,1,23,704,480
2,1,24,896,496
2,1,25,1088,416
2,1,26,1088,192
2,1,27,896,144
2,1,28,704,176
2,1,29,1216,416
2,1,30,1216,192
2,1,31,1408,192
2,1,32,1280,192
2,1,33,-128,576
2,1,34,-128,640
2,1,35,-64,640
2,1,36,-64,576
2,1,37,1600,384
2,1,38,1600,64
2,1,39,1408,64
2,1,40,1728,-64
2,1,41,1728,-320
2,1,42,1664,-384
2,1,43,1344,-384
2,1,44,1280,-320
2,1,45,1280,-64
2,1,46,1280,416
2,1,47,1408,416
2,1,48,1408,-656
2,1,49,1600,-656
2,1,50,1680,-576
2,1,51,1680,-448
2,1,52,1328,-448
2,1,53,1328,-576
2,1,54,1664,-448
2,1,55,1680,-384
2,1,56,1664,-576
2,1,57,1664,-640
2,1,58,1600,-640
2,1,59,1680,-656
2,1,60,1344,-448
2,1,61,1328,-384
2,1,62,1344,-576
2,1,63,1408,-640
2,1,64,1408,-576
2,1,65,1328,-656
2,1,66,1744,-320
2,1,67,1744,-64
2,1,68,1664,16
2,1,69,1920,384
2,1,70,2176,128
2,1,71,2176,-64
2,1,72,2240,-192
2,1,73,2240,-448
2,1,74,1984,-704
2,1,75,1984,-960
2,1,76,1728,-1152
2,1,77,1344,-1152
2,1,78,1088,-960
2,1,79,832,-960
2,1,80,640,-768
2,1,81,640,-384
2,1,82,896,-128
2,1,83,1336,8
2,1,84,1264,-64
2,1,85,1264,-256
2,1,86,1264,-320
2,1,87,240,-384
2,1,88,624,-384
2,1,89,128,-496
2,1,90,624,-768
2,1,91,832,-976
2,1,92,256,-1216
2,1,93,128,-1088
2,1,94,192,256
2,1,95,448,256
2,1,96,640,64
2,1,97,832,-128
2,1,98,640,-320
2,1,99,384,-320
2,1,100,192,-128
2,1,101,768,64
2,1,102,832,64
2,1,103,832,0
2,1,104,768,0
2,1,105,1088,-976
2,1,106,1152,-1040
2,1,107,1152,-1088
2,1,108,1216,-1088
2,1,109,1216,-1152
2,1,110,1152,-1152
2,1,111,640,-128
2,1,112,576,-128
2,1,113,576,-192
2,1,114,640,-192
2,1,115,512,0
2,1,116,512,64
2,1,117,448,64
2,1,118,448,0
2,1,119,416,-160
2,1,120,416,-96
2,1,121,352,-96
2,1,122,352,-160
2,1,123,352,64
2,1,124,352,128
2,1,125,288,128
2,1,126,288,64
2,1,127,-128,-704
2,1,128,-192,-640
2,1,129,-192,-512
2,1,130,-128,-448
2,1,131,0,-576
2,1,132,64,-576
2,1,133,64,-832
2,1,134,0,-896
2,1,135,96,-992
2,1,136,96,-1184
2,1,137,0,-1280
2,1,138,-256,-1088
2,1,139,-200,-1032
2,1,140,-288,-944
2,1,141,-288,-768
2,1,142,-192,-768
2,1,143,-256,-1216
2,1,144,64,-640
2,1,145,0,-640
2,1,146,-192,-384
2,1,147,-256,-384
2,1,148,-256,-320
2,1,149,-256,576
2,1,150,-256,640
2,1,151,-192,640
2,1,152,-192,576
2,1,153,-192,-320
2,1,154,656,-1152
2,1,155,448,-944
2,1,156,408,-984
2,1,157,576,-1152
2,1,158,640,-1152
2,1,159,640,-1216
2,1,160,576,-1216
2,1,161,2112,-704
2,1,162,2112,-640
2,1,163,2176,-640
2,1,164,2176,-704
2,1,165,2288,-816
2,1,166,2288,-1088
2,1,167,2240,-1088
2,1,168,2176,-1088
2,1,169,2176,-1112
2,1,170,2176,-1128
2,1,171,2176,-1152
2,1,172,2224,-1184
2,1,173,2176,-1264
2,1,174,2160,-1264
2,1,175,2128,-1264
2,1,176,2112,-1264
2,1,177,2064,-1184
2,1,178,2112,-1152
2,1,179,2112,-1128
2,1,180,2112,-1112
2,1,181,2112,-1088
2,1,182,2048,-1088
2,1,183,2000,-1088
2,1,184,2000,-816
2,1,185,1664,320
2,1,186,1664,384
2,1,187,1728,384
2,1,188,1728,320
2,1,189,1216,128
2,1,190,1280,128
2,1,191,1280,64
2,1,192,1216,64
2,1,193,1664,-1152
2,1,194,1664,-1184
2,1,195,1408,-1184
2,1,196,1408,-1152
2,1,197,1216,384
2,1,198,1280,384
2,1,199,1280,224
2,1,200,1216,224
2,1,201,1280,336
2,1,202,1280,272
2,1,203,1216,336
2,1,204,1216,272
2,1,205,2112,-512
2,1,206,1984,-384
2,1,207,1944,-552
2,1,208,1792,-128
2,1,209,2080,0
2,1,210,2136,-144
2,1,211,1816,-224
2,1,212,896,-384
2,1,213,960,-680
2,1,214,1088,-640
2,1,215,1088,-384
2,1,216,1600,-576
2,1,217,712,-632
2,1,218,776,-632
2,1,219,776,-568
2,1,220,712,-568
2,1,221,1208,-520
2,1,222,1288,-520
2,1,223,1288,-440
2,1,224,1208,-440
2,1,225,832,-1216
2,1,226,768,-1216
2,1,227,768,-1152
2,1,228,832,-1152
2,1,229,1152,88
2,1,230,1136,120
2,1,231,952,64
2,1,232,960,32
2,1,233,-192,-1280
2,1,234,-256,-1280
2,1,235,-192,-1216
2,1,236,408,-1088
2,1,237,424,-1088
2,1,238,440,-1088
2,1,239,544,-1088
2,1,240,440,-1216
2,1,241,424,-1216
2,1,242,408,-1216
2,1,243,896,-1152
2,1,244,896,-1216
2,1,245,960,-1216
2,1,246,832,-1344
2,1,247,960,-1280
2,1,248,960,-1344
2,1,249,896,-1344
2,1,250,896,-1280
2,1,251,-288,-736
2,1,252,-288,-704
2,1,253,-288,-672
2,1,254,-288,-640
2,1,255,-288,-608
2,1,256,-288,-576
2,1,257,-288,-400
2,1,258,-224,-400
2,1,259,-224,-576
2,1,260,-224,-608
2,1,261,-224,-640
2,1,262,-224,-672
2,1,263,-224,-704
2,1,264,-224,-736
2,1,265,-224,-768
2,1,266,-288,-512
2,1,267,-224,-512
2,1,268,128,-720
2,1,269,624,-496
2,1,270,624,-720
2,1,271,1184,184
2,1,272,1200,160
2,1,273,896,16
2,1,274,888,56
2,1,275,888,128
2,1,276,1088,184
2,1,277,128,-632
2,1,278,320,-632
2,1,279,320,-616
2,1,280,320,-600
2,1,281,320,-584
2,1,282,312,-584
2,1,283,120,-496
2,1,284,632,-496
2,1,285,456,-584
2,1,286,448,-584
2,1,287,448,-600
2,1,288,448,-616
2,1,289,448,-624
2,1,290,624,-632
2,1,291,448,-632
2,1,292,2000,-960
2,1,293,2000,-896
2,1,294,2288,-896
2,1,295,2288,-960
2,1,296,-128,480
2,1,297,32,640
2,1,298,32,576
2,1,299,-64,480
2,1,300,-32,448
2,1,301,0,512
2,1,302,64,544
2,1,303,-32,-1280
2,1,304,-32,-1312
2,1,305,-160,-1312
2,1,306,-160,-1280
2,1,307,1200,-256
2,1,308,1216,-256
2,1,309,1216,-192
2,1,310,1200,-192
2,1,311,1272,-256
2,1,312,1272,-312
2,1,313,1264,-312
2,1,314,120,-720
2,1,315,120,-624
2,1,316,320,-624
2,1,317,632,-624
