episode,mission,number,x_position,y_position
1,9,0,320,320
1,9,1,448,448
1,9,2,640,448
1,9,3,768,448
1,9,4,960,448
1,9,5,1088,320
1,9,6,1088,128
1,9,7,1088,0
1,9,8,1088,-192
1,9,9,960,-320
1,9,10,768,-320
1,9,11,640,-320
1,9,12,448,-320
1,9,13,320,-192
1,9,14,320,0
1,9,15,320,128
1,9,16,640,512
1,9,17,768,512
1,9,18,256,0
1,9,19,256,128
1,9,20,768,-384
1,9,21,640,-384
1,9,22,192,128
1,9,23,192,0
1,9,24,128,128
1,9,25,128,0
1,9,26,64,128
1,9,27,64,0
1,9,28,0,128
1,9,29,0,0
1,9,30,-64,128
1,9,31,-64,0
1,9,32,-128,128
1,9,33,-128,0
1,9,34,-128,384
1,9,35,-128,152
1,9,36,-128,-24
1,9,37,-128,-256
1,9,38,-320,-256
1,9,39,-320,384
1,9,40,-640,384
1,9,41,-448,384
1,9,42,-448,-256
1,9,43,-640,-256
1,9,44,-320,-320
1,9,45,-448,-320
1,9,46,-448,448
1,9,47,-320,448
1,9,48,1536,0
1,9,49,1472,0
1,9,50,1472,128
1,9,51,1536,128
1,9,52,1152,128
1,9,53,1216,128
1,9,54,1280,128
1,9,55,1344,128
1,9,56,1408,128
1,9,57,1152,0
1,9,58,1216,0
1,9,59,1280,0
1,9,60,1344,0
1,9,61,1408,0
1,9,62,1536,152
1,9,63,1536,384
1,9,64,1920,384
1,9,65,1536,-24
1,9,66,1920,-256
1,9,67,1856,-256
1,9,68,1856,-320
1,9,69,1728,-320
1,9,70,1728,-256
1,9,71,1824,-64
1,9,72,1824,192
1,9,73,1920,192
1,9,74,1920,-64
1,9,75,-448,192
1,9,76,-320,192
1,9,77,-320,-64
1,9,78,-448,-64
1,9,79,448,-352
1,9,80,0,-352
1,9,81,0,-192
1,9,82,768,-448
1,9,83,768,-512
1,9,84,768,-576
1,9,85,768,-640
1,9,86,640,-640
1,9,87,640,-576
1,9,88,640,-512
1,9,89,640,-448
1,9,90,768,-704
1,9,91,768,-768
1,9,92,640,-768
1,9,93,640,-704
1,9,94,616,-768
1,9,95,792,-768
1,9,96,384,-768
1,9,97,1024,-960
1,9,98,1088,-960
1,9,99,1088,-1088
1,9,100,1024,-1088
1,9,101,1024,-1280
1,9,102,384,-1280
1,9,103,384,-1088
1,9,104,320,-1088
1,9,105,320,-960
1,9,106,384,-960
1,9,107,576,-960
1,9,108,832,-960
1,9,109,832,-1088
1,9,110,576,-1088
1,9,111,640,576
1,9,112,640,640
1,9,113,640,704
1,9,114,640,768
1,9,115,640,800
1,9,116,768,800
1,9,117,768,768
1,9,118,768,704
1,9,119,768,640
1,9,120,768,576
1,9,121,768,896
1,9,122,640,896
1,9,123,1024,896
1,9,124,792,896
1,9,125,616,896
1,9,126,384,896
1,9,127,1024,1408
1,9,128,1024,1184
1,9,129,1088,1184
1,9,130,1088,1120
1,9,131,1024,1120
1,9,132,1152,-960
1,9,133,1216,-960
1,9,134,1280,-960
1,9,135,1344,-960
1,9,136,1376,-960
1,9,137,1376,-1088
1,9,138,1344,-1088
1,9,139,1280,-1088
1,9,140,1216,-1088
1,9,141,1152,-1088
1,9,142,1856,-384
1,9,143,1856,-448
1,9,144,1856,-512
1,9,145,1856,-576
1,9,146,1856,-608
1,9,147,1728,-608
1,9,148,1728,-576
1,9,149,1728,-512
1,9,150,1728,-448
1,9,151,1728,-384
1,9,152,1856,-704
1,9,153,2048,-704
1,9,154,2048,-1024
1,9,155,1792,-1280
1,9,156,1472,-1280
1,9,157,1472,-1088
1,9,158,1472,-960
1,9,159,1472,-704
1,9,160,1728,-704
1,9,161,1536,-1216
1,9,162,1536,-768
1,9,163,1152,1216
1,9,164,1216,1216
1,9,165,1280,1216
1,9,166,1344,1216
1,9,167,1408,1216
1,9,168,1472,1216
1,9,169,1472,1088
1,9,170,1408,1088
1,9,171,1344,1088
1,9,172,1280,1088
1,9,173,1216,1088
1,9,174,1152,1088
1,9,175,2048,832
1,9,176,1472,832
1,9,177,1472,1408
1,9,178,1792,1408
1,9,179,2048,1152
1,9,180,1984,896
1,9,181,1536,896
1,9,182,1536,1344
1,9,183,-320,-384
1,9,184,-320,-448
1,9,185,-320,-512
1,9,186,-320,-576
1,9,187,-320,-608
1,9,188,-448,-608
1,9,189,-448,-576
1,9,190,-448,-512
1,9,191,-448,-448
1,9,192,-448,-384
1,9,193,-448,-704
1,9,194,-320,-704
1,9,195,-320,832
1,9,196,-320,768
1,9,197,-320,704
1,9,198,-320,640
1,9,199,-320,576
1,9,200,-320,512
1,9,201,-448,512
1,9,202,-448,576
1,9,203,-448,640
1,9,204,-448,704
1,9,205,-448,768
1,9,206,-448,832
1,9,207,-64,-704
1,9,208,-64,-960
1,9,209,-64,-1088
1,9,210,-64,-1280
1,9,211,-640,-704
1,9,212,-576,960
1,9,213,-576,1216
1,9,214,-384,1408
1,9,215,-64,1408
1,9,216,-64,832
1,9,217,32,-960
1,9,218,64,-960
1,9,219,128,-960
1,9,220,192,-960
