episode,mission,seg_count,first_seg
1,6,4,0
1,6,6,4
1,6,4,10
1,6,4,14
1,6,4,18
1,6,4,22
1,6,4,26
1,6,4,30
1,6,4,34
1,6,4,38
1,6,3,42
1,6,3,45
1,6,4,48
1,6,4,52
1,6,4,56
1,6,4,60
1,6,4,64
1,6,5,68
1,6,2,73
1,6,4,75
1,6,4,79
1,6,4,83
1,6,4,87
1,6,4,91
1,6,4,95
1,6,1,99
1,6,5,100
1,6,4,105
1,6,1,109
1,6,4,110
1,6,2,114
1,6,5,116
1,6,5,121
1,6,4,126
1,6,3,130
1,6,3,133
1,6,5,136
1,6,3,141
1,6,2,144
1,6,3,146
1,6,1,149
1,6,6,150
1,6,8,156
1,6,4,164
1,6,4,168
1,6,4,172
1,6,4,176
1,6,4,180
1,6,2,184
1,6,1,186
1,6,4,187
1,6,4,191
1,6,4,195
1,6,2,199
1,6,4,201
1,6,4,205
1,6,4,209
1,6,2,213
1,6,4,215
1,6,2,219
1,6,1,221
1,6,4,222
1,6,3,226
1,6,3,229
1,6,4,232
1,6,1,236
1,6,2,237
1,6,2,239
1,6,4,241
1,6,2,245
1,6,1,247
1,6,1,248
1,6,1,249
1,6,1,250
1,6,1,251
1,6,3,252
1,6,3,255
1,6,4,258
1,6,4,262
1,6,4,266
1,6,4,270
1,6,4,274
1,6,4,278
1,6,4,282
1,6,4,286
1,6,4,290
1,6,1,294
1,6,4,295
1,6,3,299
1,6,2,302
1,6,2,304
1,6,2,306
1,6,2,308
1,6,4,310
1,6,4,314
1,6,1,318
1,6,3,319
1,6,2,322
1,6,1,324
1,6,1,325
1,6,1,326
1,6,1,327
1,6,1,328
1,6,1,329
1,6,4,330
1,6,1,334
1,6,4,335
1,6,4,339
1,6,4,343
1,6,4,347
1,6,2,351
1,6,8,353
1,6,4,361
1,6,1,365
1,6,3,366
1,6,1,369
1,6,2,370
1,6,3,372
1,6,4,375
1,6,5,379
1,6,4,384
1,6,6,388
1,6,4,394
1,6,4,398
1,6,1,402
1,6,1,403
1,6,4,404
1,6,4,408
1,6,3,412
1,6,4,415
1,6,1,419
1,6,4,420
1,6,3,424
1,6,4,427
1,6,1,431
1,6,2,432
1,6,2,434
1,6,4,436
1,6,2,440
1,6,1,442
1,6,1,443
1,6,1,444
1,6,1,445
1,6,1,446
1,6,1,447
1,6,3,448
