episode,mission,seg_count,first_seg
1,1,8,0
1,1,1,8
1,1,1,9
1,1,1,10
1,1,1,11
1,1,1,12
1,1,1,13
1,1,6,14
1,1,6,20
1,1,1,26
1,1,3,27
1,1,4,30
1,1,4,34
1,1,4,38
1,1,5,42
1,1,4,47
1,1,4,51
1,1,4,55
1,1,4,59
1,1,2,63
1,1,3,65
1,1,2,68
1,1,1,70
1,1,4,71
1,1,2,75
1,1,6,77
1,1,4,83
1,1,4,87
1,1,6,91
1,1,3,97
1,1,2,100
1,1,4,102
1,1,3,106
1,1,3,109
1,1,2,112
1,1,4,114
1,1,6,118
1,1,2,124
1,1,4,126
1,1,3,130
1,1,3,133
1,1,2,136
1,1,4,138
1,1,5,142
1,1,4,147
1,1,3,151
1,1,2,154
1,1,3,156
1,1,2,159
1,1,2,161
1,1,4,163
1,1,5,167
1,1,6,172
1,1,3,178
1,1,1,181
1,1,4,182
1,1,4,186
1,1,8,190
1,1,4,198
1,1,2,202
1,1,4,204
1,1,1,208
1,1,1,209
1,1,2,210
1,1,2,212
1,1,1,214
1,1,5,215
1,1,1,220
1,1,3,221
1,1,4,224
1,1,1,228
1,1,3,229
1,1,1,232
1,1,4,233
1,1,2,237
1,1,2,239
1,1,5,241
1,1,4,246
1,1,7,250
1,1,3,257
1,1,4,260
1,1,3,264
1,1,3,267
1,1,4,270
1,1,4,274
1,1,3,278
1,1,2,281
1,1,4,283
1,1,3,287
1,1,2,290
1,1,4,292
1,1,5,296
1,1,5,301
1,1,4,306
1,1,4,310
1,1,4,314
1,1,4,318
1,1,2,322
1,1,2,324
1,1,2,326
1,1,4,328
1,1,1,332
1,1,1,333
1,1,1,334
1,1,1,335
1,1,1,336
1,1,1,337
1,1,8,338
1,1,2,346
1,1,2,348
1,1,4,350
1,1,1,354
1,1,3,355
1,1,2,358
1,1,2,360
1,1,1,362
1,1,4,363
1,1,1,367
1,1,3,368
1,1,2,371
1,1,1,373
1,1,5,374
1,1,4,379
1,1,2,383
1,1,4,385
1,1,2,389
1,1,3,391
1,1,2,394
1,1,2,396
1,1,4,398
1,1,2,402
1,1,2,404
1,1,3,406
1,1,6,409
1,1,3,415
1,1,1,418
1,1,2,419
1,1,3,421
1,1,2,424
1,1,1,426
1,1,1,427
1,1,4,428
1,1,1,432
1,1,1,433
1,1,2,434
1,1,4,436
1,1,1,440
1,1,2,441
1,1,3,443
1,1,4,446
1,1,2,450
1,1,4,452
1,1,3,456
1,1,2,459
1,1,2,461
1,1,4,463
1,1,4,467
1,1,1,471
1,1,2,472
1,1,2,474
1,1,2,476
1,1,1,478
1,1,1,479
1,1,4,480
1,1,2,484
1,1,4,486
1,1,2,490
1,1,2,492
1,1,5,494
1,1,2,499
1,1,4,501
1,1,4,505
1,1,4,509
1,1,3,513
1,1,2,516
1,1,2,518
1,1,5,520
1,1,2,525
1,1,5,527
1,1,2,532
1,1,2,534
1,1,1,536
1,1,4,537
1,1,2,541
1,1,4,543
1,1,1,547
1,1,3,548
1,1,2,551
1,1,7,553
1,1,6,560
1,1,2,566
1,1,5,568
1,1,2,573
1,1,3,575
1,1,4,578
1,1,2,582
1,1,5,584
1,1,6,589
1,1,6,595
1,1,3,601
1,1,3,604
1,1,2,607
1,1,4,609
1,1,4,613
1,1,4,617
1,1,8,621
1,1,3,629
1,1,3,632
1,1,2,635
1,1,4,637
1,1,4,641
1,1,4,645
1,1,4,649
1,1,4,653
1,1,1,657
1,1,4,658
1,1,4,662
1,1,1,666
1,1,4,667
1,1,8,671
1,1,3,679
1,1,2,682
1,1,4,684
1,1,3,688
1,1,4,691
1,1,5,695
1,1,4,700
1,1,4,704
1,1,6,708
1,1,4,714
1,1,3,718
1,1,6,721
1,1,6,727
1,1,1,733
1,1,6,734
1,1,2,740
1,1,1,742
1,1,2,743
1,1,2,745
