episode,mission,seg_count,first_seg
2,8,4,0
2,8,1,4
2,8,2,5
2,8,1,7
2,8,1,8
2,8,2,9
2,8,1,11
2,8,1,12
2,8,2,13
2,8,2,15
2,8,1,17
2,8,2,18
2,8,1,20
2,8,2,21
2,8,3,23
2,8,2,26
2,8,1,28
2,8,2,29
2,8,2,31
2,8,1,33
2,8,3,34
2,8,2,37
2,8,1,39
2,8,2,40
2,8,2,42
2,8,2,44
2,8,1,46
2,8,3,47
2,8,2,50
2,8,1,52
2,8,2,53
2,8,1,55
2,8,4,56
2,8,4,60
2,8,2,64
2,8,4,66
2,8,1,70
2,8,1,71
2,8,2,72
2,8,3,74
2,8,1,77
2,8,2,78
2,8,1,80
2,8,1,81
2,8,2,82
2,8,2,84
2,8,1,86
2,8,3,87
2,8,2,90
2,8,3,92
2,8,3,95
2,8,1,98
2,8,1,99
2,8,1,100
2,8,4,101
2,8,4,105
2,8,5,109
2,8,3,114
2,8,3,117
2,8,1,120
2,8,2,121
2,8,2,123
2,8,4,125
2,8,1,129
2,8,1,130
2,8,1,131
2,8,4,132
2,8,4,136
2,8,4,140
2,8,4,144
2,8,1,148
2,8,4,149
2,8,4,153
2,8,4,157
2,8,4,161
2,8,7,165
2,8,7,172
2,8,1,179
2,8,4,180
2,8,4,184
2,8,4,188
2,8,2,192
2,8,3,194
2,8,2,197
2,8,4,199
2,8,3,203
2,8,1,206
2,8,2,207
2,8,1,209
2,8,3,210
2,8,1,213
2,8,1,214
2,8,2,215
2,8,1,217
2,8,3,218
2,8,2,221
2,8,1,223
2,8,1,224
2,8,2,225
2,8,2,227
2,8,1,229
2,8,4,230
2,8,1,234
2,8,2,235
2,8,3,237
2,8,1,240
2,8,1,241
2,8,1,242
2,8,4,243
2,8,4,247
2,8,5,251
2,8,3,256
2,8,3,259
2,8,2,262
2,8,1,264
2,8,7,265
2,8,2,272
2,8,2,274
2,8,2,276
2,8,1,278
2,8,2,279
2,8,1,281
2,8,3,282
2,8,1,285
2,8,1,286
2,8,4,287
2,8,4,291
2,8,4,295
2,8,4,299
2,8,7,303
