episode,mission,seg_count,first_seg
2,9,4,0
2,9,2,4
2,9,2,6
2,9,4,8
2,9,3,12
2,9,5,15
2,9,4,20
2,9,2,24
2,9,4,26
2,9,5,30
2,9,4,35
2,9,3,39
2,9,2,42
2,9,3,44
2,9,4,47
2,9,2,51
2,9,4,53
2,9,5,57
2,9,1,62
2,9,4,63
2,9,5,67
2,9,4,72
2,9,4,76
2,9,4,80
2,9,4,84
2,9,4,88
2,9,4,92
2,9,4,96
2,9,3,100
2,9,4,103
2,9,4,107
2,9,4,111
2,9,3,115
2,9,4,118
2,9,4,122
2,9,6,126
2,9,1,132
2,9,1,133
2,9,5,134
2,9,1,139
2,9,5,140
2,9,1,145
2,9,1,146
2,9,1,147
2,9,2,148
2,9,2,150
2,9,1,152
2,9,6,153
2,9,1,159
2,9,2,160
2,9,1,162
2,9,6,163
2,9,1,169
2,9,5,170
2,9,3,175
2,9,4,178
2,9,5,182
2,9,1,187
2,9,3,188
2,9,2,191
2,9,1,193
2,9,1,194
2,9,5,195
2,9,1,200
2,9,3,201
2,9,1,204
2,9,1,205
2,9,3,206
