episode,mission,seg_count,first_seg
2,3,4,0
2,3,2,4
2,3,4,6
2,3,5,10
2,3,4,15
2,3,6,19
2,3,3,25
2,3,2,28
2,3,4,30
2,3,10,34
2,3,7,44
2,3,3,51
2,3,4,54
2,3,4,58
2,3,4,62
2,3,10,66
2,3,6,76
2,3,8,82
2,3,2,90
2,3,1,92
2,3,4,93
2,3,4,97
2,3,4,101
2,3,2,105
2,3,1,107
2,3,1,108
2,3,4,109
2,3,6,113
2,3,5,119
2,3,3,124
2,3,3,127
2,3,4,130
2,3,1,134
2,3,4,135
2,3,4,139
2,3,7,143
2,3,2,150
2,3,4,152
2,3,4,156
2,3,4,160
2,3,4,164
2,3,4,168
2,3,4,172
2,3,4,176
2,3,4,180
2,3,4,184
2,3,4,188
2,3,4,192
2,3,4,196
2,3,3,200
2,3,5,203
2,3,1,208
2,3,1,209
2,3,2,210
2,3,8,212
2,3,1,220
2,3,5,221
2,3,6,226
2,3,4,232
2,3,4,236
2,3,7,240
2,3,4,247
2,3,2,251
2,3,1,253
2,3,1,254
2,3,1,255
2,3,1,256
2,3,1,257
2,3,8,258
2,3,8,266
2,3,3,274
2,3,6,277
2,3,16,283
2,3,1,299
2,3,9,300
2,3,3,309
2,3,3,312
2,3,3,315
2,3,3,318
2,3,8,321
2,3,5,329
2,3,8,334
2,3,3,342
2,3,12,345
2,3,3,357
2,3,3,360
2,3,3,363
2,3,3,366
2,3,1,369
2,3,2,370
2,3,3,372
2,3,3,375
2,3,4,378
2,3,4,382
2,3,4,386
2,3,2,390
2,3,4,392
2,3,8,396
2,3,8,404
2,3,7,412
2,3,5,419
2,3,1,424
2,3,1,425
2,3,1,426
2,3,1,427
2,3,1,428
2,3,8,429
2,3,4,437
2,3,3,441
2,3,3,444
2,3,12,447
2,3,8,459
2,3,4,467
2,3,3,471
2,3,4,474
2,3,4,478
2,3,4,482
2,3,4,486
2,3,3,490
2,3,2,493
2,3,4,495
2,3,4,499
2,3,4,503
2,3,12,507
2,3,5,519
2,3,1,524
2,3,4,525
2,3,4,529
2,3,5,533
2,3,2,538
2,3,4,540
2,3,3,544
2,3,2,547
2,3,4,549
2,3,4,553
2,3,2,557
2,3,4,559
2,3,3,563
2,3,2,566
2,3,2,568
2,3,8,570
2,3,6,578
2,3,4,584
2,3,4,588
2,3,1,592
2,3,2,593
2,3,5,595
2,3,3,600
2,3,4,603
2,3,11,607
2,3,7,618
2,3,5,625
2,3,8,630
2,3,10,638
2,3,4,648
2,3,2,652
2,3,4,654
2,3,4,658
2,3,4,662
2,3,4,666
2,3,4,670
2,3,8,674
2,3,4,682
2,3,2,686
2,3,2,688
2,3,3,690
2,3,2,693
2,3,2,695
2,3,3,697
2,3,1,700
2,3,12,701
2,3,4,713
2,3,1,717
2,3,2,718
2,3,1,720
2,3,2,721
2,3,3,723
2,3,2,726
2,3,1,728
2,3,4,729
2,3,3,733
2,3,2,736
2,3,2,738
2,3,5,740
2,3,2,745
2,3,2,747
2,3,4,749
2,3,2,753
2,3,3,755
2,3,2,758
2,3,4,760
2,3,4,764
2,3,4,768
2,3,3,772
2,3,5,775
2,3,4,780
2,3,2,784
2,3,3,786
2,3,5,789
2,3,6,794
2,3,4,800
2,3,4,804
2,3,4,808
2,3,8,812
2,3,4,820
2,3,4,824
2,3,6,828
2,3,1,834
2,3,5,835
2,3,3,840
2,3,4,843
2,3,2,847
2,3,4,849
2,3,1,853
2,3,7,854
2,3,6,861
2,3,3,867
2,3,1,870
2,3,4,871
2,3,4,875
2,3,3,879
2,3,1,882
2,3,3,883
2,3,4,886
2,3,4,890
2,3,4,894
2,3,4,898
2,3,3,902
2,3,2,905
2,3,4,907
2,3,4,911
2,3,4,915
2,3,4,919
2,3,2,923
2,3,7,925
2,3,3,932
2,3,4,935
2,3,2,939
2,3,1,941
2,3,5,942
2,3,8,947
2,3,1,955
2,3,1,956
2,3,1,957
2,3,1,958
2,3,3,959
2,3,2,962
2,3,3,964
2,3,8,967
2,3,4,975
2,3,3,979
2,3,3,982
2,3,2,985
2,3,4,987
2,3,3,991
2,3,2,994
2,3,4,996
2,3,6,1000
2,3,3,1006
2,3,3,1009
2,3,4,1012
2,3,4,1016
2,3,4,1020
2,3,3,1024
2,3,2,1027
2,3,2,1029
2,3,3,1031
2,3,4,1034
2,3,2,1038
2,3,3,1040
2,3,3,1043
2,3,2,1046
2,3,7,1048
2,3,3,1055
2,3,5,1058
2,3,10,1063
2,3,3,1073
2,3,2,1076
2,3,5,1078
2,3,2,1083
2,3,5,1085
2,3,4,1090
2,3,4,1094
2,3,3,1098
2,3,3,1101
2,3,3,1104
2,3,2,1107
2,3,3,1109
2,3,3,1112
2,3,4,1115
2,3,4,1119
2,3,4,1123
2,3,2,1127
2,3,6,1129
2,3,2,1135
2,3,3,1137
2,3,1,1140
2,3,5,1141
2,3,1,1146
2,3,4,1147
2,3,4,1151
2,3,5,1155
2,3,4,1160
2,3,7,1164
2,3,4,1171
2,3,10,1175
2,3,5,1185
2,3,2,1190
2,3,2,1192
2,3,4,1194
2,3,3,1198
2,3,2,1201
2,3,2,1203
2,3,2,1205
2,3,2,1207
