level_id,episode,mission,x_offset,y_offset,upper_texture,lower_texture,middle_texture,sector
10,2,1,0,40,-,-,STONE2,78
10,2,1,0,40,-,-,STONE2,78
10,2,1,0,0,-,-,STONE2,77
10,2,1,0,0,-,-,STONE2,77
10,2,1,0,0,-,-,STONE2,77
10,2,1,0,0,-,-,STONE2,77
10,2,1,0,0,-,-,STONE2,77
10,2,1,0,0,-,-,STONE2,77
10,2,1,0,0,-,-,STONE2,69
10,2,1,0,0,-,-,STONE2,69
10,2,1,0,0,STONE2,STONE2,-,77
10,2,1,0,0,AASTINKY,AASTINKY,-,78
10,2,1,0,0,BIGDOOR3,BIGDOOR3,-,69
10,2,1,0,0,AASTINKY,AASTINKY,-,78
10,2,1,0,0,-,-,STONE2,68
10,2,1,0,0,-,-,STONE2,68
10,2,1,0,0,NUKEDGE1,-,-,68
10,2,1,0,0,-,-,-,69
10,2,1,0,0,-,-,STONE2,74
10,2,1,0,0,-,-,STONE2,74
10,2,1,0,0,-,-,STONE2,74
10,2,1,0,0,-,-,STONE2,74
10,2,1,0,0,-,-,STONE2,74
10,2,1,0,0,-,-,STONE2,74
10,2,1,0,0,-,-,STONE2,74
10,2,1,0,0,-,-,STONE2,74
10,2,1,0,0,-,-,STONE2,7
10,2,1,0,0,-,-,STONE2,7
10,2,1,0,0,-,-,STONE2,7
10,2,1,0,0,-,-,STONE2,7
10,2,1,0,0,-,-,STONE2,7
10,2,1,0,0,-,-,STONE2,7
10,2,1,0,0,-,-,STONE2,8
10,2,1,0,0,-,-,STONE2,8
10,2,1,0,0,-,-,STONE2,20
10,2,1,0,0,STONE2,-,-,77
10,2,1,0,0,-,-,-,77
10,2,1,0,0,STONE2,-,-,74
10,2,1,0,0,-,-,-,77
10,2,1,0,0,STONE2,-,-,7
10,2,1,0,0,-,-,-,74
10,2,1,0,56,-,-,STONE2,76
10,2,1,0,56,-,-,STONE2,76
10,2,1,0,0,STONE2,-,-,75
10,2,1,0,0,-,-,-,76
10,2,1,0,0,STONE2,-,-,75
10,2,1,0,0,-,-,-,76
10,2,1,0,0,-,-,STONE2,11
10,2,1,0,0,-,-,STONE2,11
10,2,1,0,0,-,-,STONE2,10
10,2,1,0,0,-,-,STONE2,10
10,2,1,0,0,-,-,STONE2,10
10,2,1,0,0,-,-,STONE2,10
10,2,1,0,0,-,-,STONE2,10
10,2,1,0,0,-,-,STONE2,10
10,2,1,0,0,STONE2,-,-,10
10,2,1,0,0,-,-,-,11
10,2,1,0,0,LITE4,-,-,10
10,2,1,0,0,-,-,-,24
10,2,1,0,0,-,-,STONE2,20
10,2,1,0,0,-,-,STONE2,11
10,2,1,0,0,STONE2,-,-,20
10,2,1,0,0,STONE2,-,-,11
10,2,1,0,0,STONE2,STONE2,-,27
10,2,1,0,0,-,-,-,29
10,2,1,0,0,STONE2,STONE2,-,14
10,2,1,0,0,-,-,-,26
10,2,1,0,0,STONE2,STONE2,-,46
10,2,1,0,0,-,-,-,48
10,2,1,0,0,-,-,STONE2,24
10,2,1,0,0,-,-,LITE5,26
10,2,1,0,0,-,-,STONE2,14
10,2,1,0,0,-,-,LITE5,26
10,2,1,0,0,-,-,STONE2,25
10,2,1,0,0,-,-,STONE2,25
10,2,1,0,0,-,-,LITE5,29
10,2,1,0,0,-,-,STONE2,28
10,2,1,0,0,-,-,STONE2,14
10,2,1,0,0,-,-,STONE2,24
10,2,1,0,0,-,-,STONE2,46
10,2,1,0,0,-,-,LITE5,48
10,2,1,0,0,-,-,LITE5,48
10,2,1,0,0,-,-,STONE2,24
10,2,1,0,0,-,-,STONE2,24
10,2,1,0,0,-,-,STONE2,40
10,2,1,0,0,-,-,STONE2,41
10,2,1,0,0,-,-,LITE5,29
10,2,1,0,0,STONE2,STONE2,-,24
