level_id,episode,mission,seg_count,first_seg
25,3,7,3,0
25,3,7,2,3
25,3,7,4,5
25,3,7,1,9
25,3,7,3,10
25,3,7,3,13
25,3,7,4,16
25,3,7,2,20
25,3,7,4,22
25,3,7,4,26
25,3,7,6,30
25,3,7,2,36
25,3,7,3,38
25,3,7,1,41
25,3,7,1,42
25,3,7,4,43
25,3,7,4,47
25,3,7,1,51
25,3,7,4,52
25,3,7,1,56
25,3,7,4,57
25,3,7,4,61
25,3,7,6,65
25,3,7,4,71
25,3,7,4,75
25,3,7,2,79
25,3,7,4,81
25,3,7,2,85
25,3,7,3,87
25,3,7,4,90
25,3,7,4,94
25,3,7,3,98
25,3,7,2,101
25,3,7,6,103
25,3,7,4,109
25,3,7,5,113
25,3,7,4,118
25,3,7,4,122
25,3,7,3,126
25,3,7,1,129
25,3,7,2,130
25,3,7,6,132
25,3,7,1,138
25,3,7,1,139
25,3,7,4,140
25,3,7,3,144
25,3,7,1,147
25,3,7,5,148
25,3,7,4,153
25,3,7,1,157
25,3,7,1,158
25,3,7,1,159
25,3,7,3,160
25,3,7,1,163
25,3,7,1,164
25,3,7,3,165
25,3,7,4,168
25,3,7,4,172
25,3,7,1,176
25,3,7,4,177
25,3,7,1,181
25,3,7,4,182
25,3,7,4,186
25,3,7,1,190
25,3,7,2,191
25,3,7,3,193
25,3,7,1,196
25,3,7,1,197
25,3,7,3,198
25,3,7,1,201
25,3,7,4,202
25,3,7,1,206
25,3,7,4,207
25,3,7,1,211
25,3,7,3,212
25,3,7,1,215
25,3,7,1,216
25,3,7,3,217
25,3,7,1,220
25,3,7,1,221
25,3,7,1,222
25,3,7,4,223
25,3,7,3,227
25,3,7,1,230
25,3,7,10,231
25,3,7,8,241
25,3,7,6,249
25,3,7,4,255
25,3,7,4,259
25,3,7,4,263
25,3,7,4,267
25,3,7,4,271
25,3,7,4,275
25,3,7,3,279
25,3,7,3,282
25,3,7,1,285
25,3,7,1,286
25,3,7,4,287
25,3,7,4,291
25,3,7,4,295
25,3,7,4,299
25,3,7,4,303
25,3,7,6,307
25,3,7,3,313
25,3,7,2,316
25,3,7,2,318
25,3,7,1,320
25,3,7,1,321
25,3,7,1,322
25,3,7,1,323
25,3,7,1,324
25,3,7,1,325
25,3,7,1,326
25,3,7,1,327
25,3,7,1,328
25,3,7,1,329
25,3,7,1,330
25,3,7,1,331
25,3,7,4,332
25,3,7,4,336
25,3,7,1,340
25,3,7,1,341
25,3,7,1,342
25,3,7,4,343
25,3,7,4,347
25,3,7,2,351
25,3,7,1,353
25,3,7,4,354
25,3,7,1,358
25,3,7,1,359
25,3,7,1,360
25,3,7,3,361
25,3,7,1,364
25,3,7,1,365
25,3,7,4,366
25,3,7,1,370
25,3,7,2,371
25,3,7,1,373
25,3,7,1,374
25,3,7,1,375
25,3,7,5,376
25,3,7,2,381
25,3,7,1,383
25,3,7,3,384
25,3,7,3,387
25,3,7,4,390
25,3,7,4,394
25,3,7,4,398
25,3,7,5,402
25,3,7,5,407
25,3,7,3,412
25,3,7,2,415
25,3,7,3,417
25,3,7,1,420
25,3,7,4,421
25,3,7,3,425
25,3,7,4,428
25,3,7,1,432
25,3,7,1,433
25,3,7,5,434
25,3,7,3,439
25,3,7,1,442
25,3,7,1,443
25,3,7,4,444
25,3,7,3,448
25,3,7,1,451
25,3,7,3,452
25,3,7,4,455
25,3,7,3,459
25,3,7,2,462
25,3,7,3,464
25,3,7,1,467
25,3,7,3,468
25,3,7,2,471
25,3,7,5,473
25,3,7,2,478
25,3,7,2,480
25,3,7,4,482
25,3,7,7,486
25,3,7,12,493
25,3,7,3,505
25,3,7,4,508
25,3,7,4,512
25,3,7,4,516
25,3,7,3,520
25,3,7,3,523
25,3,7,3,526
25,3,7,3,529
25,3,7,4,532
25,3,7,1,536
25,3,7,4,537
25,3,7,3,541
25,3,7,3,544
25,3,7,4,547
25,3,7,1,551
25,3,7,2,552
25,3,7,2,554
25,3,7,2,556
25,3,7,2,558
25,3,7,4,560
25,3,7,3,564
25,3,7,3,567
25,3,7,2,570
25,3,7,1,572
25,3,7,3,573
25,3,7,4,576
25,3,7,4,580
25,3,7,1,584
25,3,7,2,585
25,3,7,2,587
25,3,7,4,589
25,3,7,3,593
25,3,7,3,596
25,3,7,1,599
25,3,7,2,600
25,3,7,2,602
25,3,7,4,604
25,3,7,2,608
25,3,7,4,610
25,3,7,1,614
25,3,7,3,615
25,3,7,3,618
25,3,7,3,621
25,3,7,3,624
25,3,7,3,627
25,3,7,4,630
25,3,7,3,634
25,3,7,4,637
25,3,7,3,641
25,3,7,1,644
25,3,7,3,645
25,3,7,2,648
25,3,7,3,650
25,3,7,2,653
25,3,7,1,655
25,3,7,5,656
25,3,7,1,661
25,3,7,1,662
25,3,7,1,663
25,3,7,5,664
25,3,7,1,669
25,3,7,2,670
25,3,7,1,672
25,3,7,3,673
25,3,7,6,676
25,3,7,1,682
25,3,7,2,683
25,3,7,1,685
25,3,7,3,686
25,3,7,1,689
25,3,7,4,690
25,3,7,1,694
25,3,7,1,695
25,3,7,1,696
25,3,7,2,697
25,3,7,2,699
25,3,7,1,701
25,3,7,1,702
25,3,7,2,703
25,3,7,4,705
25,3,7,1,709
25,3,7,2,710
25,3,7,2,712
25,3,7,4,714
25,3,7,1,718
25,3,7,1,719
25,3,7,3,720
25,3,7,4,723
25,3,7,2,727
25,3,7,1,729
25,3,7,4,730
25,3,7,4,734
25,3,7,1,738
25,3,7,3,739
25,3,7,1,742
25,3,7,1,743
25,3,7,4,744
25,3,7,3,748
25,3,7,5,751
25,3,7,1,756
25,3,7,2,757
25,3,7,2,759
25,3,7,3,761
25,3,7,2,764
25,3,7,3,766
25,3,7,4,769
25,3,7,4,773
25,3,7,1,777
25,3,7,3,778
25,3,7,3,781
25,3,7,1,784
25,3,7,3,785
25,3,7,2,788
25,3,7,3,790
25,3,7,1,793
25,3,7,1,794
25,3,7,2,795
25,3,7,3,797
25,3,7,3,800
25,3,7,3,803
25,3,7,2,806
25,3,7,4,808
25,3,7,3,812
25,3,7,3,815
25,3,7,4,818
25,3,7,3,822
25,3,7,1,825
25,3,7,2,826
25,3,7,6,828
25,3,7,2,834
25,3,7,3,836
25,3,7,4,839
25,3,7,5,843
25,3,7,4,848
25,3,7,4,852
25,3,7,2,856
25,3,7,4,858
25,3,7,4,862
25,3,7,1,866
25,3,7,4,867
25,3,7,4,871
25,3,7,4,875
25,3,7,3,879
25,3,7,2,882
25,3,7,2,884
25,3,7,2,886
25,3,7,1,888
25,3,7,3,889
25,3,7,6,892
25,3,7,4,898
25,3,7,3,902
25,3,7,3,905
25,3,7,2,908
25,3,7,3,910
25,3,7,3,913
25,3,7,1,916
25,3,7,1,917
25,3,7,1,918
25,3,7,1,919
25,3,7,1,920
25,3,7,1,921
25,3,7,3,922
25,3,7,1,925
25,3,7,2,926
25,3,7,4,928
25,3,7,2,932
25,3,7,2,934
25,3,7,4,936
25,3,7,4,940
25,3,7,6,944
25,3,7,2,950
25,3,7,3,952
25,3,7,4,955
25,3,7,4,959
25,3,7,4,963
25,3,7,3,967
25,3,7,4,970
25,3,7,1,974
25,3,7,4,975
25,3,7,4,979
25,3,7,4,983
25,3,7,2,987
25,3,7,1,989
25,3,7,1,990
25,3,7,2,991
25,3,7,1,993
25,3,7,1,994
25,3,7,5,995
25,3,7,2,1000
25,3,7,4,1002
25,3,7,3,1006
25,3,7,4,1009
25,3,7,3,1013
25,3,7,3,1016
25,3,7,3,1019
25,3,7,2,1022
25,3,7,1,1024
25,3,7,4,1025
25,3,7,3,1029
25,3,7,2,1032
25,3,7,4,1034
25,3,7,1,1038
25,3,7,4,1039
25,3,7,3,1043
25,3,7,1,1046
25,3,7,5,1047
25,3,7,3,1052
25,3,7,1,1055
25,3,7,4,1056
25,3,7,1,1060
25,3,7,4,1061
25,3,7,4,1065
25,3,7,4,1069
25,3,7,1,1073
25,3,7,1,1074
25,3,7,4,1075
25,3,7,1,1079
25,3,7,4,1080
25,3,7,1,1084
25,3,7,1,1085
25,3,7,1,1086
25,3,7,4,1087
25,3,7,4,1091
25,3,7,3,1095
25,3,7,1,1098
25,3,7,1,1099
25,3,7,1,1100
25,3,7,4,1101
25,3,7,4,1105
25,3,7,3,1109
25,3,7,4,1112
25,3,7,3,1116
25,3,7,3,1119
25,3,7,6,1122
25,3,7,4,1128
25,3,7,1,1132
25,3,7,4,1133
25,3,7,3,1137
25,3,7,4,1140
25,3,7,1,1144
25,3,7,2,1145
25,3,7,1,1147
25,3,7,3,1148
25,3,7,6,1151
25,3,7,4,1157
25,3,7,4,1161
25,3,7,4,1165
25,3,7,4,1169
25,3,7,4,1173
25,3,7,1,1177
25,3,7,2,1178
25,3,7,5,1180
25,3,7,1,1185
25,3,7,5,1186
25,3,7,4,1191
25,3,7,4,1195
25,3,7,4,1199
25,3,7,5,1203
25,3,7,1,1208
25,3,7,2,1209
25,3,7,3,1211
25,3,7,3,1214
25,3,7,5,1217
25,3,7,8,1222
25,3,7,4,1230
25,3,7,4,1234
25,3,7,4,1238
25,3,7,4,1242
25,3,7,2,1246
25,3,7,4,1248
25,3,7,5,1252
25,3,7,5,1257
25,3,7,4,1262
25,3,7,1,1266
25,3,7,4,1267
25,3,7,3,1271
25,3,7,4,1274
25,3,7,3,1278
25,3,7,2,1281
25,3,7,5,1283
25,3,7,4,1288
25,3,7,4,1292
25,3,7,1,1296
25,3,7,1,1297
25,3,7,1,1298
25,3,7,4,1299
25,3,7,4,1303
25,3,7,2,1307
25,3,7,1,1309
25,3,7,1,1310
25,3,7,5,1311
25,3,7,4,1316
25,3,7,5,1320
25,3,7,4,1325
4,1,4,10,0
4,1,4,3,10
4,1,4,4,13
4,1,4,5,17
4,1,4,4,22
4,1,4,4,26
4,1,4,1,30
4,1,4,2,31
4,1,4,4,33
4,1,4,1,37
4,1,4,1,38
4,1,4,6,39
4,1,4,4,45
4,1,4,4,49
4,1,4,3,53
4,1,4,4,56
4,1,4,1,60
4,1,4,3,61
4,1,4,4,64
4,1,4,3,68
4,1,4,3,71
4,1,4,3,74
4,1,4,3,77
4,1,4,4,80
4,1,4,5,84
4,1,4,4,89
4,1,4,3,93
4,1,4,3,96
4,1,4,3,99
4,1,4,4,102
4,1,4,4,106
4,1,4,3,110
4,1,4,3,113
4,1,4,1,116
4,1,4,3,117
4,1,4,10,120
4,1,4,3,130
4,1,4,1,133
4,1,4,6,134
4,1,4,1,140
4,1,4,4,141
4,1,4,4,145
4,1,4,2,149
4,1,4,4,151
4,1,4,1,155
4,1,4,5,156
4,1,4,5,161
4,1,4,3,166
4,1,4,3,169
4,1,4,1,172
4,1,4,1,173
4,1,4,5,174
4,1,4,4,179
4,1,4,1,183
4,1,4,1,184
4,1,4,4,185
4,1,4,4,189
4,1,4,2,193
4,1,4,4,195
4,1,4,1,199
4,1,4,5,200
4,1,4,2,205
4,1,4,4,207
4,1,4,4,211
4,1,4,3,215
4,1,4,3,218
4,1,4,4,221
4,1,4,2,225
4,1,4,5,227
4,1,4,8,232
4,1,4,2,240
4,1,4,2,242
4,1,4,5,244
4,1,4,2,249
4,1,4,2,251
4,1,4,1,253
4,1,4,4,254
4,1,4,3,258
4,1,4,3,261
4,1,4,3,264
4,1,4,3,267
4,1,4,2,270
4,1,4,4,272
4,1,4,3,276
4,1,4,1,279
4,1,4,3,280
4,1,4,3,283
4,1,4,2,286
4,1,4,2,288
4,1,4,4,290
4,1,4,4,294
4,1,4,1,298
4,1,4,6,299
4,1,4,3,305
4,1,4,1,308
4,1,4,4,309
4,1,4,4,313
4,1,4,4,317
4,1,4,7,321
4,1,4,4,328
4,1,4,4,332
4,1,4,3,336
4,1,4,2,339
4,1,4,6,341
4,1,4,5,347
4,1,4,5,352
4,1,4,4,357
4,1,4,8,361
4,1,4,3,369
4,1,4,4,372
4,1,4,3,376
4,1,4,7,379
4,1,4,5,386
4,1,4,7,391
4,1,4,4,398
4,1,4,2,402
4,1,4,3,404
4,1,4,1,407
4,1,4,4,408
4,1,4,2,412
4,1,4,3,414
4,1,4,1,417
4,1,4,3,418
4,1,4,1,421
4,1,4,4,422
4,1,4,1,426
4,1,4,5,427
4,1,4,3,432
4,1,4,3,435
4,1,4,2,438
4,1,4,3,440
4,1,4,3,443
4,1,4,2,446
4,1,4,1,448
4,1,4,5,449
4,1,4,3,454
4,1,4,2,457
4,1,4,3,459
4,1,4,2,462
4,1,4,3,464
4,1,4,4,467
4,1,4,3,471
4,1,4,4,474
4,1,4,7,478
4,1,4,8,485
4,1,4,4,493
4,1,4,4,497
4,1,4,3,501
4,1,4,3,504
4,1,4,2,507
4,1,4,4,509
4,1,4,8,513
4,1,4,4,521
4,1,4,4,525
4,1,4,4,529
4,1,4,4,533
4,1,4,4,537
4,1,4,4,541
4,1,4,1,545
4,1,4,4,546
4,1,4,4,550
4,1,4,4,554
4,1,4,4,558
4,1,4,1,562
4,1,4,4,563
4,1,4,2,567
4,1,4,5,569
4,1,4,3,574
4,1,4,2,577
4,1,4,4,579
4,1,4,2,583
4,1,4,4,585
4,1,4,2,589
4,1,4,2,591
4,1,4,3,593
4,1,4,4,596
4,1,4,2,600
4,1,4,2,602
4,1,4,4,604
4,1,4,4,608
4,1,4,4,612
4,1,4,4,616
4,1,4,1,620
4,1,4,3,621
4,1,4,5,624
4,1,4,14,629
4,1,4,7,643
4,1,4,3,650
4,1,4,4,653
4,1,4,4,657
4,1,4,4,661
4,1,4,4,665
4,1,4,5,669
4,1,4,4,674
4,1,4,4,678
4,1,4,3,682
4,1,4,4,685
4,1,4,3,689
4,1,4,4,692
4,1,4,2,696
4,1,4,2,698
4,1,4,4,700
4,1,4,1,704
4,1,4,4,705
