level_id,episode,mission,number,x_position,y_position
21,3,3,0,-448,-1088
21,3,3,1,-512,-1088
21,3,3,2,-192,-1088
21,3,3,3,-256,-1088
21,3,3,4,-384,-1280
21,3,3,5,-448,-1280
21,3,3,6,-128,-832
21,3,3,7,-128,-896
21,3,3,8,-576,-896
21,3,3,9,-576,-832
21,3,3,10,-256,-768
21,3,3,11,-256,-832
21,3,3,12,-288,-704
21,3,3,13,-448,-768
21,3,3,14,-416,-704
21,3,3,15,-448,-832
21,3,3,16,-320,-1088
21,3,3,17,-384,-1088
21,3,3,18,-256,-1280
21,3,3,19,-320,-1280
21,3,3,20,-512,-1280
21,3,3,21,-576,-1280
21,3,3,22,-128,-1280
21,3,3,23,-192,-1280
21,3,3,24,-576,-1024
21,3,3,25,-128,-1024
21,3,3,26,-288,-640
21,3,3,27,-416,-640
21,3,3,28,-552,-832
21,3,3,29,-488,-832
21,3,3,30,-216,-832
21,3,3,31,-152,-832
21,3,3,32,-552,-816
21,3,3,33,-592,-816
21,3,3,34,-640,-704
21,3,3,35,-464,-704
21,3,3,36,-464,-816
21,3,3,37,-488,-816
21,3,3,38,-216,-816
21,3,3,39,-240,-816
21,3,3,40,-240,-704
21,3,3,41,-128,-704
21,3,3,42,-128,-816
21,3,3,43,-152,-816
21,3,3,44,-128,-784
21,3,3,45,-128,-720
21,3,3,46,-112,-720
21,3,3,47,-112,-704
21,3,3,48,0,-704
21,3,3,49,64,-704
21,3,3,50,96,-704
21,3,3,51,96,-832
21,3,3,52,-112,-832
21,3,3,53,-592,-832
21,3,3,54,-768,-832
21,3,3,55,-768,-704
21,3,3,56,0,-648
21,3,3,57,64,-648
21,3,3,58,-112,-784
21,3,3,59,1216,0
21,3,3,60,1216,-32
21,3,3,61,1216,-160
21,3,3,62,1216,-192
21,3,3,63,1472,-192
21,3,3,64,1472,-384
21,3,3,65,1248,-32
21,3,3,66,1248,-160
21,3,3,67,1280,-32
21,3,3,68,1280,-160
21,3,3,69,1408,-160
21,3,3,70,1408,-32
21,3,3,71,1440,-32
21,3,3,72,1472,-32
21,3,3,73,1472,-160
21,3,3,74,1440,-160
21,3,3,75,1024,-32
21,3,3,76,1024,128
21,3,3,77,1024,192
21,3,3,78,1472,192
21,3,3,79,1024,-384
21,3,3,80,1024,-320
21,3,3,81,1024,-160
21,3,3,82,1600,-192
21,3,3,83,1664,-192
21,3,3,84,1728,-288
21,3,3,85,1600,-288
21,3,3,86,1856,-128
21,3,3,87,1664,0
21,3,3,88,1600,0
21,3,3,89,1600,96
21,3,3,90,1664,96
21,3,3,91,1664,192
21,3,3,92,1856,192
21,3,3,93,1472,0
21,3,3,94,960,-160
21,3,3,95,1000,-32
21,3,3,96,832,-832
21,3,3,97,896,-832
21,3,3,98,896,-1024
21,3,3,99,832,-1024
21,3,3,100,768,-1152
21,3,3,101,384,-1152
21,3,3,102,640,-448
21,3,3,103,640,-384
21,3,3,104,544,-384
21,3,3,105,544,-320
21,3,3,106,640,-320
21,3,3,107,640,-256
21,3,3,108,608,-256
21,3,3,109,608,-192
21,3,3,110,640,-192
21,3,3,111,640,-128
21,3,3,112,608,-128
21,3,3,113,608,-64
21,3,3,114,640,-64
21,3,3,115,768,-64
21,3,3,116,800,-64
21,3,3,117,800,-128
21,3,3,118,768,-128
21,3,3,119,768,-192
21,3,3,120,800,-192
21,3,3,121,800,-256
21,3,3,122,768,-256
21,3,3,123,768,-320
21,3,3,124,800,-320
21,3,3,125,800,-384
21,3,3,126,768,-384
21,3,3,127,768,-448
21,3,3,128,608,64
21,3,3,129,640,64
21,3,3,130,640,0
21,3,3,131,608,0
21,3,3,132,768,0
21,3,3,133,792,0
21,3,3,134,864,64
21,3,3,135,928,-32
21,3,3,136,768,64
21,3,3,137,792,64
21,3,3,138,640,128
21,3,3,139,576,128
21,3,3,140,768,128
21,3,3,141,800,128
21,3,3,142,864,224
21,3,3,143,864,352
21,3,3,144,512,192
21,3,3,145,512,224
21,3,3,146,512,352
21,3,3,147,512,384
21,3,3,148,576,448
21,3,3,149,768,448
21,3,3,150,384,352
21,3,3,151,384,224
21,3,3,152,896,-160
21,3,3,153,-544,-512
21,3,3,154,-640,-416
21,3,3,155,-64,-416
21,3,3,156,-160,-512
21,3,3,157,-640,-160
21,3,3,158,-544,-64
21,3,3,159,-160,-64
21,3,3,160,-64,-160
21,3,3,161,-288,-512
21,3,3,162,-416,-512
21,3,3,163,-512,128
21,3,3,164,-472,128
21,3,3,165,-448,128
21,3,3,166,-384,192
21,3,3,167,-320,192
21,3,3,168,-256,128
