level_id,episode,mission,vertex_1,vertex_2,flags,action_special,sector_tag,front_side,back_side
11,2,2,0,1,1,0,0,0,65535
11,2,2,2,3,1,0,0,1,65535
11,2,2,4,5,1,0,0,2,65535
11,2,2,6,7,1,0,0,3,65535
11,2,2,8,9,1,0,0,4,65535
11,2,2,10,11,1,0,0,5,65535
11,2,2,12,13,1,0,0,6,65535
11,2,2,14,15,4,0,0,7,8
11,2,2,16,17,1,0,0,9,65535
11,2,2,18,19,1,0,0,10,65535
11,2,2,19,8,1,0,0,11,65535
11,2,2,20,21,1,0,0,12,65535
11,2,2,13,20,1,0,0,13,65535
11,2,2,21,22,1,0,0,14,65535
11,2,2,23,18,1,0,0,15,65535
11,2,2,22,24,1,0,0,16,65535
11,2,2,24,25,1,0,0,17,65535
11,2,2,26,23,1,0,0,18,65535
11,2,2,27,26,1,0,0,19,65535
11,2,2,28,29,1,0,0,20,65535
11,2,2,30,31,1,0,0,21,65535
11,2,2,32,33,1,0,0,22,65535
11,2,2,34,32,1,0,0,23,65535
11,2,2,35,36,1,0,0,24,65535
11,2,2,37,38,4,2,6,25,26
11,2,2,31,39,1,0,0,27,65535
11,2,2,40,35,1,0,0,28,65535
11,2,2,3,41,1,0,0,29,65535
11,2,2,41,42,1,0,0,30,65535
11,2,2,42,43,17,103,6,31,65535
11,2,2,43,44,1,0,0,32,65535
11,2,2,44,28,1,0,0,33,65535
11,2,2,37,45,1,0,0,34,65535
11,2,2,45,46,1,0,0,35,65535
11,2,2,47,38,1,0,0,36,65535
11,2,2,48,47,1,0,0,37,65535
11,2,2,49,50,1,0,0,38,65535
11,2,2,51,52,1,0,0,39,65535
11,2,2,53,54,1,0,0,40,65535
11,2,2,17,55,1,0,0,41,65535
11,2,2,56,57,1,0,0,42,65535
11,2,2,58,59,1,0,0,43,65535
11,2,2,60,61,1,0,0,44,65535
11,2,2,61,62,1,0,0,45,65535
11,2,2,63,64,1,0,0,46,65535
11,2,2,65,63,1,0,0,47,65535
11,2,2,66,67,1,0,0,48,65535
11,2,2,68,69,1,0,0,49,65535
11,2,2,70,71,1,0,0,50,65535
11,2,2,62,72,1,0,0,51,65535
11,2,2,73,74,1,0,0,52,65535
11,2,2,74,75,17,0,0,53,65535
11,2,2,75,76,1,0,0,54,65535
11,2,2,77,78,1,0,0,55,65535
11,2,2,78,79,17,0,0,56,65535
11,2,2,79,80,1,0,0,57,65535
11,2,2,81,82,1,0,0,58,65535
11,2,2,83,81,17,0,0,59,65535
11,2,2,84,83,1,0,0,60,65535
11,2,2,85,86,1,0,0,61,65535
11,2,2,87,88,1,0,0,62,65535
11,2,2,88,85,17,0,0,63,65535
11,2,2,89,90,1,0,0,64,65535
11,2,2,90,91,17,0,0,65,65535
11,2,2,91,92,1,0,0,66,65535
11,2,2,93,94,1,0,0,67,65535
11,2,2,95,96,1,0,0,68,65535
11,2,2,97,98,1,0,0,69,65535
11,2,2,99,100,1,0,0,70,65535
11,2,2,101,102,1,0,0,71,65535
11,2,2,103,48,1,0,0,72,65535
11,2,2,100,103,1,0,0,73,65535
11,2,2,50,104,1,0,0,74,65535
