level_id,episode,mission,floor_height,ceiling_height,sector_floor,sector_ceil,light_level,special,tag
20,3,2,56,256,MFLR8_4,FLOOR6_2,144,0,0
20,3,2,88,216,FLAT1_3,FLAT1_2,160,0,2
20,3,2,72,200,MFLR8_4,FLOOR6_2,128,0,0
20,3,2,56,200,FWATER4,FLOOR6_2,160,0,0
20,3,2,200,200,MFLR8_4,FLOOR6_2,128,0,2
20,3,2,88,160,MFLR8_4,FLOOR6_2,112,0,0
20,3,2,128,224,MFLR8_4,FLOOR6_2,112,0,0
20,3,2,88,216,FLAT1_3,FLAT1_2,160,0,2
20,3,2,88,216,FLAT1_3,FLAT1_2,160,0,2
20,3,2,88,216,FLAT1_3,FLAT1_2,160,0,2
20,3,2,88,216,FLAT1_3,FLAT1_2,160,0,2
20,3,2,88,216,FLAT1_3,FLAT1_2,160,0,2
20,3,2,40,256,FWATER4,FLOOR6_2,160,0,0
20,3,2,56,56,FLOOR6_1,FLOOR6_2,160,8,3
20,3,2,80,256,MFLR8_4,F_SKY1,160,0,0
20,3,2,56,256,MFLR8_4,FLOOR6_2,160,0,4
20,3,2,32,256,MFLR8_4,F_SKY1,160,0,0
20,3,2,40,256,LAVA4,F_SKY1,160,16,0
20,3,2,48,256,MFLR8_4,F_SKY1,160,0,0
20,3,2,128,256,MFLR8_2,F_SKY1,160,9,1
20,3,2,40,168,LAVA4,FLAT5_3,160,0,0
20,3,2,40,152,FLAT5_3,FLAT5_3,160,0,0
20,3,2,56,168,FLAT5_3,FLAT5_3,160,0,0
20,3,2,72,160,FWATER4,FLOOR6_2,160,0,0
20,3,2,88,160,MFLR8_4,FLOOR6_2,112,0,0
20,3,2,88,88,MFLR8_4,FLOOR6_2,112,0,4
20,3,2,112,224,FWATER4,FLOOR6_2,160,0,0
20,3,2,128,224,MFLR8_4,FLOOR6_2,112,0,0
20,3,2,128,224,MFLR8_4,FLOOR6_2,112,9,0
20,3,2,128,128,MFLR8_4,FLOOR6_2,112,0,6
20,3,2,128,128,MFLR8_4,FLOOR6_2,112,0,7
20,3,2,96,256,MFLR8_4,FLOOR6_2,144,0,0
20,3,2,112,240,MFLR8_4,FLOOR6_2,128,0,0
20,3,2,112,240,MFLR8_4,FLOOR6_2,128,0,0
20,3,2,112,112,MFLR8_4,FLOOR6_2,128,0,5
20,3,2,112,240,MFLR8_4,FLOOR6_2,128,0,0
20,3,2,160,240,MFLR8_4,FLOOR6_2,112,0,11
20,3,2,112,176,GATE4,GATE4,160,0,0
20,3,2,112,184,MFLR8_4,FLOOR6_2,128,0,0
20,3,2,112,184,MFLR8_4,FLOOR6_2,128,0,0
20,3,2,112,112,MFLR8_4,FLOOR6_2,128,0,0
20,3,2,112,240,MFLR8_4,FLOOR6_2,160,0,0
20,3,2,112,240,MFLR8_4,FLOOR6_2,160,0,0
20,3,2,112,112,MFLR8_4,FLOOR6_2,160,0,10
20,3,2,80,256,FWATER4,FLOOR6_2,160,0,0
20,3,2,256,256,MFLR8_4,FLOOR6_2,144,0,12
20,3,2,48,256,MFLR8_4,F_SKY1,160,0,0
20,3,2,64,256,MFLR8_4,F_SKY1,160,0,0
20,3,2,80,176,MFLR8_4,FLOOR6_2,128,0,0
20,3,2,80,80,MFLR8_4,FLOOR6_2,128,0,8
20,3,2,32,256,MFLR8_4,F_SKY1,160,0,0
20,3,2,48,256,MFLR8_4,F_SKY1,160,0,0
20,3,2,64,256,MFLR8_4,F_SKY1,160,0,0
20,3,2,80,256,MFLR8_4,F_SKY1,160,0,0
20,3,2,96,272,FLOOR6_1,F_SKY1,160,0,13
20,3,2,256,256,MFLR8_4,F_SKY1,160,0,9
20,3,2,96,256,MFLR8_4,FLOOR6_2,160,0,0
20,3,2,48,256,MFLR8_4,F_SKY1,160,0,0
20,3,2,64,160,MFLR8_4,FLOOR6_2,112,9,0
20,3,2,64,64,MFLR8_4,FLOOR6_2,112,0,0
20,3,2,0,256,MFLR8_4,F_SKY1,160,0,0
20,3,2,16,256,MFLR8_4,F_SKY1,160,0,0
20,3,2,40,256,FLAT10,F_SKY1,176,0,0
20,3,2,80,256,FLAT10,F_SKY1,176,0,0
20,3,2,120,256,FLAT10,F_SKY1,176,0,0
20,3,2,160,256,FLAT10,F_SKY1,176,0,0
20,3,2,16,256,FWATER4,F_SKY1,160,0,0
20,3,2,16,256,FWATER4,F_SKY1,160,0,0
14,2,5,0,128,FLAT5_1,CEIL1_1,160,0,0
14,2,5,0,72,FLAT5_1,FLOOR5_4,128,0,0
14,2,5,0,0,FLAT5_1,FLOOR7_1,160,0,10
14,2,5,0,120,FLAT5_1,CEIL1_1,144,0,0
14,2,5,64,96,CEIL5_2,CEIL5_2,160,0,0
14,2,5,72,216,FLAT5_5,CEIL3_1,176,0,0
14,2,5,0,80,FLAT5_1,CEIL1_1,128,0,0
14,2,5,0,72,FLAT5_1,FLOOR5_4,128,0,0
14,2,5,0,80,FLAT5_1,CEIL1_1,128,9,0
14,2,5,0,0,FLAT5_1,FLOOR0_2,128,0,0
14,2,5,40,216,FLAT5_5,CEIL3_1,160,0,0
14,2,5,16,216,FLAT5_5,CEIL3_1,160,9,0
14,2,5,48,216,FLAT5_5,CEIL3_1,160,0,0
14,2,5,56,216,FLAT5_5,CEIL3_1,160,0,0
14,2,5,64,216,FLAT5_5,CEIL3_1,160,0,0
14,2,5,72,216,FLAT5_5,CEIL3_1,160,0,0
14,2,5,0,216,FLAT5_5,CEIL3_1,160,0,0
14,2,5,8,216,FLAT5_5,CEIL3_1,160,0,0
14,2,5,16,216,FLAT5_5,CEIL3_1,160,0,0
14,2,5,24,216,FLAT5_5,CEIL3_1,160,0,0
14,2,5,16,16,FLAT5_5,FLOOR7_1,160,0,28
14,2,5,32,216,FLAT5_5,CEIL3_1,160,0,0
14,2,5,16,136,FLOOR0_1,CEIL3_2,128,0,0
14,2,5,24,136,FLOOR0_1,CEIL3_2,128,0,0
14,2,5,32,136,FLOOR0_1,CEIL3_2,128,0,0
14,2,5,40,136,FLOOR0_1,CEIL3_2,128,0,0
14,2,5,48,136,FLOOR0_1,CEIL3_2,128,0,0
14,2,5,56,136,FLOOR0_1,CEIL3_2,128,0,0
14,2,5,8,136,FLOOR0_1,CEIL3_2,128,0,0
14,2,5,0,136,FLOOR0_1,CEIL3_2,128,0,0
14,2,5,-8,136,FLOOR0_1,CEIL3_2,128,0,0
14,2,5,-16,136,FLOOR0_1,CEIL3_2,128,0,0
14,2,5,-8,144,FLAT1_1,FLAT5_2,128,0,0
14,2,5,16,136,FLOOR0_1,CEIL3_2,128,0,0
14,2,5,8,136,FLOOR0_1,CEIL3_2,128,0,0
14,2,5,24,136,FLOOR0_1,CEIL3_2,128,0,0
14,2,5,32,136,FLOOR0_1,CEIL3_2,128,0,0
14,2,5,40,136,FLOOR0_1,CEIL3_2,128,0,0
14,2,5,48,136,FLOOR0_1,CEIL3_2,128,0,0
14,2,5,64,168,FLOOR0_1,CEIL3_2,128,0,0
14,2,5,72,168,FLAT5_5,CEIL3_1,176,0,0
14,2,5,72,72,FLAT5_5,FLOOR7_1,144,0,29
14,2,5,72,136,FLOOR0_2,TLITE6_5,144,0,0
14,2,5,64,136,STEP2,TLITE6_5,128,0,0
14,2,5,56,136,STEP2,TLITE6_5,128,0,0
14,2,5,64,168,FLAT5_7,CEIL3_5,160,0,0
14,2,5,72,144,FLOOR0_2,FLAT1_1,144,0,0
14,2,5,72,72,FLOOR0_2,FLOOR7_1,144,0,32
14,2,5,96,128,FLOOR6_2,FLOOR6_2,160,1,0
14,2,5,64,200,FWATER4,CEIL4_1,160,0,0
14,2,5,96,128,FLOOR6_2,FLOOR6_2,160,1,0
14,2,5,64,144,FLAT5_7,CEIL3_5,160,0,0
14,2,5,72,72,FLOOR0_2,MFLR8_2,144,0,33
14,2,5,72,144,FLAT5_2,CEIL3_2,160,0,0
14,2,5,72,144,FLAT5_5,CEIL3_1,176,0,0
