level_id,episode,mission,x_position,y_position,direction,type,flags
8,1,8,-128,-224,0,1,7
8,1,8,-128,-160,0,2,7
8,1,8,-192,-288,0,3,7
8,1,8,-192,-160,0,4,7
8,1,8,944,-304,0,2011,7
8,1,8,912,-144,0,2011,7
8,1,8,464,-336,90,3002,4
8,1,8,336,-256,225,3002,6
8,1,8,272,-128,225,3002,7
8,1,8,464,-112,270,3002,4
8,1,8,496,-256,180,3002,6
8,1,8,336,-192,225,3002,6
8,1,8,496,-192,180,3002,6
8,1,8,48,1040,315,3002,14
8,1,8,784,1040,225,3002,14
8,1,8,528,384,0,2013,7
8,1,8,944,-144,0,2011,7
8,1,8,912,-176,0,2011,7
8,1,8,912,-208,0,2011,7
8,1,8,944,-208,0,2011,7
8,1,8,944,-240,0,2011,7
8,1,8,912,-240,0,2011,7
8,1,8,912,-272,0,2011,7
8,1,8,912,-304,0,2011,7
8,1,8,208,-128,0,2035,7
8,1,8,176,-192,0,2035,7
8,1,8,176,-256,0,2035,7
8,1,8,208,-320,0,2035,7
8,1,8,256,-384,0,2035,7
8,1,8,624,-336,0,2035,7
8,1,8,320,-400,0,2035,7
8,1,8,480,-400,0,2035,7
8,1,8,544,-384,0,2035,7
8,1,8,656,-192,0,2035,7
8,1,8,624,-128,0,2035,7
8,1,8,560,-64,0,2035,7
8,1,8,480,-48,0,2035,7
8,1,8,336,-48,0,2035,7
8,1,8,256,-64,0,2035,7
8,1,8,656,-256,0,2035,7
8,1,8,256,-192,0,2035,7
8,1,8,256,-256,0,2035,7
8,1,8,576,-192,0,2035,7
8,1,8,576,-256,0,2035,7
8,1,8,272,-320,225,3002,7
8,1,8,368,-112,270,3002,4
8,1,8,544,-320,90,3002,7
8,1,8,368,-336,225,3002,4
8,1,8,544,-128,270,3002,7
8,1,8,-160,864,315,2001,15
8,1,8,-96,928,315,2049,15
8,1,8,-96,800,315,2049,15
8,1,8,1040,2160,0,2001,7
8,1,8,416,928,0,2018,7
8,1,8,416,800,0,2012,7
8,1,8,-208,2160,0,2011,7
8,1,8,272,1456,0,46,7
8,1,8,560,1456,0,46,7
8,1,8,304,2864,270,3003,7
8,1,8,528,2864,270,3003,7
8,1,8,-32,864,0,2049,7
8,1,8,864,928,0,2048,7
8,1,8,928,928,0,2048,7
8,1,8,928,800,0,2048,7
8,1,8,864,800,0,2048,7
8,1,8,992,864,270,2002,15
8,1,8,416,3904,0,2049,7
8,1,8,416,4032,0,2012,7
8,1,8,1264,3312,0,2048,7
8,1,8,1360,3344,0,2012,7
8,1,8,-480,3344,0,2024,7
8,1,8,-320,3328,0,2035,7
8,1,8,-256,3264,0,2035,7
8,1,8,-256,3200,0,2035,7
8,1,8,-384,3264,0,2035,7
8,1,8,-192,3328,0,2035,7
8,1,8,-128,3264,0,2035,7
8,1,8,-128,3200,315,58,12
8,1,8,1312,3328,225,58,12
8,1,8,416,4000,270,58,12
8,1,8,-160,2208,45,58,12
8,1,8,992,2208,135,58,12
8,1,8,960,2272,135,58,12
8,1,8,-128,2288,45,58,12
8,1,8,1232,3280,225,58,12
8,1,8,416,3936,270,58,12
8,1,8,-192,3136,315,58,12
8,1,8,-192,-224,0,2048,1
8,1,8,288,992,0,46,7
8,1,8,544,992,0,46,7
8,1,8,544,736,0,46,7
8,1,8,288,736,0,46,7
8,1,8,-448,3328,0,2035,7
8,1,8,-64,3328,0,2035,7
8,1,8,944,-176,0,2026,7
8,1,8,944,-272,0,2048,7
8,1,8,416,4080,270,11,7
8,1,8,1408,3360,180,11,7
8,1,8,-576,3360,0,11,7
8,1,8,-240,2112,45,11,7
8,1,8,1072,2112,135,11,7
8,1,8,896,864,180,11,7
8,1,8,-96,864,0,11,7
8,1,8,832,-224,180,11,7
8,1,8,-128,-288,0,11,7
8,1,8,608,6464,0,14,7
8,1,8,608,6544,0,3002,15
8,1,8,512,6528,270,9,15
8,1,8,704,6528,270,9,15
8,1,8,576,6608,270,3001,15
8,1,8,672,6608,270,3001,15
8,1,8,496,6608,270,9,15
8,1,8,736,6608,270,9,15
8,1,8,-384,3328,0,2048,7
8,1,8,-160,2256,0,2048,7
8,1,8,1008,2256,0,2048,7
8,1,8,304,2896,0,2048,7
