episode,mission,floor_height,ceiling_height,sector_floor,sector_ceil,light_level,special,tag
2,3,0,192,CEIL3_5,CEIL3_4,224,0,0
2,3,0,128,CEIL3_5,FLAT3,160,0,0
2,3,24,80,FLAT3,FLAT3,192,0,0
2,3,0,128,CEIL3_5,CEIL3_3,192,0,0
2,3,24,80,FLAT3,FLAT3,192,0,0
2,3,0,144,CEIL3_5,CEIL3_4,192,0,0
2,3,-8,64,CEIL3_5,CEIL3_3,176,0,0
2,3,0,96,CEIL3_5,FLOOR7_1,192,0,0
2,3,0,96,CEIL3_5,FLOOR7_1,192,0,0
2,3,0,0,CEIL3_5,FLAT23,192,0,0
2,3,0,168,CEIL3_5,F_SKY1,144,0,0
2,3,0,72,NUKAGE3,CEIL3_3,192,0,0
2,3,8,72,FLOOR7_1,CEIL3_3,192,0,0
2,3,8,72,FLOOR7_1,CEIL3_3,192,0,0
2,3,8,72,FLOOR7_1,CEIL3_3,192,0,0
2,3,0,96,NUKAGE3,CEIL3_4,224,7,0
2,3,0,72,NUKAGE3,FLOOR4_6,192,7,0
2,3,0,72,CEIL3_5,FLOOR4_6,192,0,0
2,3,0,96,SFLR6_1,FLOOR1_7,208,0,0
2,3,8,80,FLOOR4_1,FLOOR4_6,192,0,0
2,3,0,96,SFLR7_1,FLOOR1_7,208,0,0
2,3,0,96,CEIL3_5,FLOOR4_6,176,0,0
2,3,32,96,SFLR6_4,FLOOR1_7,192,0,1
2,3,40,96,SFLR6_4,FLOOR1_7,192,0,1
2,3,32,96,SFLR6_4,FLOOR1_7,192,0,1
2,3,-24,96,SFLR6_4,FLOOR1_7,192,0,1
2,3,0,96,SFLR6_4,FLOOR1_7,192,0,1
2,3,-24,96,SFLR6_4,FLOOR1_7,192,0,1
2,3,32,96,SFLR6_4,FLOOR1_7,192,0,1
2,3,40,96,SFLR6_4,FLOOR1_7,192,0,1
2,3,32,96,SFLR6_4,FLOOR1_7,192,0,1
2,3,-24,96,SFLR6_4,FLOOR1_7,192,0,1
2,3,0,96,SFLR6_4,FLOOR1_7,192,0,1
2,3,-24,96,SFLR6_4,FLOOR1_7,192,0,1
2,3,-24,160,NUKAGE3,CEIL4_3,208,7,0
2,3,0,168,CEIL3_5,CEIL5_2,144,1,0
2,3,0,96,SFLR6_1,FLOOR1_7,208,0,0
2,3,0,0,FLAT23,CEIL5_2,192,9,0
2,3,8,64,FLAT3,FLAT3,144,0,0
2,3,0,96,SFLR7_4,FLOOR1_7,208,0,0
2,3,0,112,FLOOR1_1,FLOOR1_1,208,0,0
2,3,16,72,FLOOR1_6,FLOOR1_6,255,0,0
2,3,0,72,CEIL3_5,FLOOR7_1,160,0,0
2,3,8,72,CEIL5_2,FLOOR7_1,208,0,0
2,3,0,128,CEIL3_5,DEM1_5,208,0,0
2,3,0,72,CEIL3_5,FLOOR7_1,160,0,0
2,3,0,96,NUKAGE3,CEIL3_4,224,7,0
2,3,0,96,CEIL3_5,CEIL5_1,192,0,0
2,3,0,96,CEIL3_5,CEIL5_1,192,0,0
2,3,0,0,CEIL3_5,FLAT23,176,0,0
2,3,64,120,FLOOR6_1,FLOOR6_1,224,8,0
2,3,0,144,MFLR8_1,DEM1_5,160,0,0
2,3,8,64,FLOOR5_3,DEM1_5,255,2,0
2,3,0,144,MFLR8_1,FLOOR7_1,160,0,0
2,3,-48,80,BLOOD3,F_SKY1,255,5,0
2,3,0,72,MFLR8_1,DEM1_5,160,1,0
2,3,0,152,MFLR8_1,F_SKY1,255,0,0
2,3,-24,32,FLOOR3_3,CEIL5_2,160,1,0
2,3,-24,48,FLOOR3_3,CEIL5_2,144,1,0
2,3,-8,64,FLOOR3_3,CEIL5_2,128,1,0
2,3,8,152,FLOOR3_3,FLAT5,112,1,0
2,3,24,152,FLOOR3_3,CEIL5_2,96,1,0
2,3,40,152,FLOOR3_3,FLAT5,112,1,0
2,3,0,160,CEIL3_5,DEM1_5,160,0,0
2,3,56,152,FLOOR3_3,FLAT5,128,1,0
2,3,72,152,FLOOR3_3,FLAT5,144,9,0
2,3,88,152,FLOOR3_3,FLAT5,160,0,0
2,3,8,256,FLAT5_4,DEM1_5,224,0,0
2,3,16,256,FLAT5_4,DEM1_5,224,0,0
2,3,0,64,CEIL3_5,FLAT3,144,0,0
2,3,0,128,CEIL3_5,FLAT3,160,0,0
2,3,0,256,CEIL3_5,DEM1_5,224,0,0
2,3,0,72,CEIL3_5,DEM1_5,192,0,0
2,3,24,160,CEIL3_5,DEM1_5,160,0,0
2,3,64,120,FLOOR6_1,FLOOR6_1,224,8,0
2,3,8,160,CEIL3_5,DEM1_5,160,0,0
2,3,8,160,CEIL3_5,DEM1_5,160,0,0
2,3,16,160,CEIL3_5,DEM1_5,160,0,0
2,3,16,160,CEIL3_5,DEM1_5,160,0,0
2,3,-8,120,CEIL3_5,TLITE6_6,255,1,0
2,3,-8,248,CEIL3_5,FLOOR0_1,112,0,0
2,3,0,64,CEIL3_5,FLOOR7_1,144,0,0
2,3,0,96,FLOOR3_3,TLITE6_1,255,3,0
2,3,0,128,CEIL3_5,CEIL3_4,192,0,0
2,3,0,72,FLOOR3_3,CEIL5_1,80,0,0
2,3,0,72,FLOOR3_3,CEIL5_1,112,0,0
2,3,-8,120,CEIL3_5,TLITE6_6,255,1,0
2,3,-8,248,CEIL3_5,FLOOR0_1,112,0,0
2,3,-8,248,CEIL3_5,FLOOR0_1,112,0,0
2,3,-8,120,FLAT1_2,F_SKY1,255,0,0
2,3,-8,64,FLAT1_2,FLAT1_2,144,0,0
2,3,-8,120,CEIL3_5,TLITE6_6,255,1,0
2,3,-8,120,CEIL3_5,TLITE6_6,255,1,0
2,3,-8,248,CEIL3_5,FLOOR0_1,112,0,0
2,3,-8,248,CEIL3_5,FLOOR0_1,112,0,0
2,3,0,72,FLAT1_1,FLOOR0_1,112,0,0
2,3,0,192,CEIL3_5,CEIL3_4,160,0,0
2,3,0,0,CEIL3_5,CEIL5_2,192,9,0
2,3,0,112,CEIL3_5,FLOOR4_6,176,0,0
2,3,0,112,NUKAGE3,CEIL3_1,192,7,0
2,3,32,72,CEIL5_2,FLAT8,192,0,0
2,3,40,72,CEIL5_2,CEIL3_3,192,0,0
2,3,0,72,CEIL3_5,CEIL5_2,192,0,0
2,3,8,72,CEIL5_1,CEIL5_2,192,9,0
2,3,0,0,CEIL3_5,FLAT23,192,0,0
2,3,0,96,CEIL3_5,FLOOR4_6,176,0,0
2,3,0,0,CEIL3_5,FLAT23,176,0,0
2,3,32,72,CEIL5_2,FLAT8,192,0,0
2,3,0,144,FLOOR7_1,CEIL5_1,160,0,0
2,3,0,72,FLOOR7_1,CEIL5_2,128,0,0
2,3,32,48,FLOOR4_1,FLOOR4_6,255,1,0
2,3,0,56,FLOOR7_1,CEIL5_1,128,0,0
2,3,0,56,FLOOR7_1,CEIL5_1,128,0,0
2,3,0,72,FLAT3,FLAT9,224,0,0
2,3,0,72,FLOOR7_1,TLITE6_6,255,3,0
2,3,0,0,FLOOR7_1,FLAT23,255,0,0
2,3,-24,72,NUKAGE3,CEIL3_3,192,7,0
2,3,0,72,FLOOR7_1,FLAT8,128,0,0
2,3,0,72,FLAT1_1,FLAT8,128,0,0
2,3,0,64,FLOOR4_5,CEIL3_3,192,9,0
2,3,-24,152,NUKAGE3,CEIL3_3,128,7,0
2,3,0,152,FLOOR0_1,CEIL3_3,128,9,0
2,3,-24,72,NUKAGE3,FLAT10,192,7,0
2,3,-24,72,NUKAGE3,FLAT10,128,7,0
2,3,8,72,FLOOR7_1,CEIL3_3,192,0,0
2,3,0,72,CEIL3_5,CEIL5_2,160,0,0
2,3,8,64,FLAT1_1,CEIL5_2,80,0,0
2,3,8,64,FLAT1_1,CEIL5_2,112,0,0
