episode,mission,partition_x,partition_y,partition_x_diff,partition_y_diff,rbox_top,rbox_bottom,rbox_left,rbox_right,lbox_top,lbox_bottom,lbox_left,lbox_right,rchild,lchild
1,9,1728,1280,0,64,1344,1280,1728,1728,1344,1280,1664,1728,32771,32772
1,9,1664,1344,0,-64,1344,1280,1536,1664,1344,1280,1664,1728,32770,0
1,9,1664,1280,64,0,1280,1088,1600,1824,1344,1280,1536,1728,32769,1
1,9,1728,1344,-64,0,1408,1344,1472,1824,1344,1088,1536,1824,32768,2
1,9,1888,1184,0,64,1248,1184,1888,2016,1248,1184,1824,1888,32775,32776
1,9,1888,1248,-64,0,1376,1248,1824,1952,1248,1184,1824,2016,32774,4
1,9,1824,1184,64,0,1184,1088,1824,2048,1376,1184,1824,2016,32773,5
1,9,1824,1248,0,-64,1408,1088,1472,1824,1376,1088,1824,2048,3,6
1,9,1920,1024,64,0,1024,896,1920,1984,1088,1024,1920,1984,32778,32779
1,9,1920,1088,0,-64,1088,960,1792,1920,1088,896,1920,1984,32777,8
1,9,2240,640,448,0,640,512,2240,2688,1024,832,1984,2048,32780,32781
1,9,1984,1024,64,0,1024,512,1984,2688,1088,1024,1984,2048,10,32782
1,9,1984,1088,0,-64,1088,896,1792,1984,1088,512,1984,2688,9,11
1,9,1984,1088,-64,0,1408,1088,1472,2048,1088,512,1792,2688,7,12
1,9,1408,1088,0,128,1216,1088,1408,1472,1216,1088,1344,1408,32783,32784
1,9,1280,1088,0,128,1216,1088,1280,1344,1216,1088,1216,1280,32785,32786
1,9,1344,1088,0,128,1216,1088,1344,1472,1216,1088,1216,1344,14,15
1,9,1632,1120,0,64,1184,1120,1632,1760,1184,1120,1568,1632,32790,32791
1,9,1632,1184,-64,0,1312,1184,1568,1696,1184,1120,1568,1760,32789,17
1,9,1568,1120,64,0,1120,1024,1568,1856,1312,1120,1568,1760,32788,18
1,9,1568,1184,0,-64,1344,1024,1536,1568,1312,1024,1568,1856,32787,19
1,9,1664,960,0,64,1024,960,1664,1760,1024,960,1600,1664,32794,32795
1,9,1600,960,64,0,960,896,1600,1760,1024,960,1600,1760,32793,21
1,9,1600,1024,0,-64,1024,896,1536,1600,1024,896,1600,1760,32792,22
1,9,1824,992,-64,0,992,992,1760,1824,992,928,1760,1824,32798,32799
1,9,1824,928,0,64,1024,928,1824,1952,992,928,1760,1824,32797,24
1,9,1760,928,64,0,928,896,1760,1984,1024,928,1760,1952,32796,25
1,9,1760,992,0,-64,1024,896,1536,1760,1024,896,1760,1984,23,26
1,9,1664,1024,-64,0,1344,1024,1536,1856,1024,896,1536,1984,20,27
1,9,1984,896,-448,0,1344,896,1536,1984,896,832,1536,2048,28,32800
1,9,1536,896,0,448,1344,832,1536,2048,1408,832,1472,1536,29,32801
1,9,2048,832,-576,0,1408,832,1472,2048,640,512,2240,2368,30,32802
1,9,1472,1216,0,-128,1216,1088,1216,1472,1408,512,1472,2368,16,31
1,9,1984,896,-448,448,1408,512,1472,2688,1408,512,1216,2368,13,32
1,9,968,1312,-16,-112,1408,1200,784,968,1312,1200,952,968,32803,32804
1,9,784,1280,16,128,1408,1200,784,968,1408,1280,576,800,34,32805
1,9,960,1408,8,-96,1408,1200,576,968,1408,1165,960,1024,35,32806
1,9,576,1216,208,64,1280,1048,576,952,1280,1216,576,784,32807,32808
1,9,864,1144,-288,-96,1280,1048,576,952,1144,1048,576,864,37,32809
1,9,952,1200,-88,-56,1280,1048,576,952,1200,896,576,1024,38,32810
1,9,952,1200,-168,80,1408,1165,576,1024,1280,896,576,1024,36,39
1,9,1088,1120,0,64,1216,1088,1088,1152,1184,1120,1024,1088,32812,32813
1,9,1152,1088,0,128,1216,1088,1152,1216,1216,1088,1024,1152,32811,41
1,9,1024,1408,0,-224,1408,896,576,1024,1216,1088,1024,1216,40,42
1,9,672,1560,-96,0,1560,1560,576,672,1520,1424,576,720,32815,32816
1,9,720,1424,-144,0,1560,1424,576,720,1424,1408,576,720,44,32817
1,9,800,1408,0,24,1432,1408,800,960,1512,1432,768,800,32818,32819
1,9,720,1424,0,-16,1560,1408,576,720,1512,1408,768,960,45,46
1,9,768,1512,-96,48,1664,1416,576,960,1560,1408,576,960,32814,47
1,9,800,1408,160,0,1408,896,576,1216,1664,1408,576,960,43,48
1,9,768,800,-128,0,856,800,640,768,800,768,640,768,32820,32821
1,9,768,872,-128,0,896,872,640,768,872,856,640,768,32822,32823
1,9,640,856,128,0,856,768,640,768,896,856,640,768,50,51
1,9,768,704,-128,0,768,704,640,768,704,640,640,768,32824,32825
1,9,768,576,-128,0,640,576,640,768,576,512,640,768,32826,32827
1,9,768,640,-128,0,768,640,640,768,640,512,640,768,53,54
1,9,768,768,-128,0,896,768,640,768,768,512,640,768,52,55
1,9,768,896,-128,0,1664,896,576,1216,896,512,640,768,49,56
1,9,1216,1088,0,128,1408,512,1216,2688,1664,512,576,1216,33,57
1,9,-320,768,-128,0,832,768,-448,-320,768,704,-448,-320,32828,32829
1,9,-320,576,-128,0,640,576,-448,-320,576,512,-448,-320,32831,32832
1,9,-320,640,-128,0,704,640,-448,-320,640,512,-448,-320,32830,60
1,9,-320,704,-128,0,832,704,-448,-320,704,512,-448,-320,59,61
1,9,-416,984,-32,56,1120,984,-448,-368,1040,984,-448,-416,32833,32834
1,9,-448,1120,80,-48,1120,984,-448,-368,1120,1072,-448,-352,63,32835
