episode,mission,partition_x,partition_y,partition_x_diff,partition_y_diff,rbox_top,rbox_bottom,rbox_left,rbox_right,lbox_top,lbox_bottom,lbox_left,lbox_right,rchild,lchild
2,7,384,704,64,64,768,448,384,576,768,704,384,448,32768,32769
2,7,512,448,-64,0,768,448,384,576,448,448,448,512,0,32770
2,7,576,512,-64,-64,768,448,384,576,512,448,512,576,1,32771
2,7,512,768,64,-64,768,448,384,576,768,704,512,576,2,32772
2,7,256,640,0,128,768,512,256,384,768,640,256,256,32773,32774
2,7,384,512,0,192,768,448,384,576,768,512,256,384,3,4
2,7,192,640,-42,-85,768,554,-25,192,640,640,192,256,32776,32777
2,7,256,448,0,192,640,320,256,576,768,554,-25,256,32775,6
2,7,448,448,-64,64,768,448,256,576,768,320,-25,576,5,7
2,7,704,448,-32,-32,768,320,576,704,416,320,608,704,32778,32779
2,7,992,640,32,0,640,512,800,1024,704,640,800,992,32780,32781
2,7,1024,512,-224,128,704,512,800,1024,640,320,800,1024,10,32782
2,7,864,752,64,0,752,704,864,928,760,752,864,928,32785,32786
2,7,928,760,-64,0,768,760,864,928,760,704,864,928,32784,12
2,7,1024,704,-64,64,768,704,960,1024,768,704,864,928,32783,13
2,7,864,704,64,0,704,320,800,1024,768,704,864,1024,11,14
2,7,704,768,0,-320,768,320,576,704,768,320,800,1024,9,15
2,7,576,704,0,-192,768,320,-25,576,768,320,576,1024,8,16
2,7,1472,768,0,-448,768,320,1408,1472,768,320,1472,1472,32787,32788
2,7,1408,320,0,448,768,320,1408,1472,768,320,1344,1408,18,32789
2,7,1344,616,-16,16,664,616,1328,1344,352,320,1328,1344,32790,32791
2,7,1344,664,0,104,768,320,1344,1472,664,320,1328,1344,19,20
2,7,1024,512,64,0,512,480,1024,1088,640,512,1024,1088,32793,32794
2,7,1024,480,64,0,480,448,1024,1088,640,480,1024,1088,32792,22
2,7,1312,640,-224,-128,640,512,1088,1312,640,448,1088,1312,32795,32796
2,7,1088,512,0,-32,640,448,1024,1088,640,448,1088,1312,23,24
2,7,1024,384,64,0,384,320,1024,1088,416,384,1024,1088,32797,32798
2,7,1024,416,64,0,416,320,1024,1088,448,416,1024,1088,26,32799
2,7,1088,448,0,-32,448,320,1024,1088,448,320,1088,1312,27,32800
2,7,1088,448,-64,0,640,448,1024,1312,448,320,1024,1312,25,28
2,7,1184,704,64,0,704,640,1184,1312,752,704,1184,1248,32801,32802
2,7,1248,760,-64,0,768,760,1184,1248,760,752,1184,1248,32803,32804
2,7,1184,752,64,0,752,640,1184,1312,768,752,1184,1248,30,31
2,7,1088,704,-64,0,768,704,1024,1152,704,640,1120,1184,32805,32806
2,7,1184,704,0,48,768,640,1184,1312,768,640,1024,1184,32,33
2,7,1024,640,96,0,640,320,1024,1312,768,640,1024,1312,29,34
2,7,1328,320,0,16,768,320,1328,1472,768,320,1024,1312,21,35
2,7,1024,512,0,-32,768,320,-25,1024,768,320,1024,1472,17,36
2,7,1216,144,-128,-80,144,64,1056,1216,144,64,1088,1216,32807,32808
2,7,1216,144,0,-80,144,64,1056,1216,192,128,1216,1304,38,32809
2,7,1088,256,128,-80,256,64,448,1216,256,176,1088,1216,32810,32811
2,7,1216,176,32,16,192,64,1056,1304,256,64,448,1216,39,40
2,7,496,320,0,-8,320,312,464,496,320,312,496,528,32812,32813
2,7,464,312,0,8,320,312,464,528,320,312,432,464,42,32814
2,7,448,256,640,0,256,64,448,1304,320,312,432,528,41,43
2,7,896,0,128,0,0,-8,888,1032,32,0,896,1024,32816,32817
2,7,1056,32,-32,0,64,32,864,1056,32,-8,888,1032,32815,45
2,7,1296,-8,0,64,56,-8,1296,1304,56,-8,1288,1296,32819,32820
2,7,1288,56,0,-64,56,-8,1064,1288,56,-8,1288,1304,32818,47
2,7,1056,64,0,-32,64,-8,864,1056,56,-8,1064,1304,46,48
2,7,1088,64,-32,0,320,64,432,1304,64,-8,864,1304,44,49
2,7,1024,-192,0,-128,-192,-320,1024,1024,-192,-384,1024,1088,32822,32823
2,7,1088,-384,0,192,-192,-384,1088,1320,-192,-384,1024,1088,32821,51
2,7,1288,-96,32,0,-96,-192,880,1320,-56,-96,832,1288,32825,32826
2,7,832,-64,192,-128,-64,-192,832,1024,-56,-192,832,1320,32824,53
2,7,1248,-24,-144,0,-8,-24,1104,1248,-24,-40,1104,1248,32829,32830
2,7,1104,-40,144,0,-40,-56,1104,1248,-8,-40,1104,1248,32828,55
2,7,1032,-8,48,-48,-8,-56,840,1080,-8,-56,1104,1248,32827,56
2,7,1080,-56,24,0,-56,-192,832,1320,-8,-56,840,1248,54,57
2,7,1024,-192,64,0,-192,-384,1024,1320,-8,-192,832,1320,52,58
2,7,1288,-8,-40,0,320,-8,432,1304,-8,-384,832,1320,50,59
2,7,1472,320,0,-512,320,-192,1408,1472,320,-192,1472,1488,32831,32832
2,7,1408,-192,0,512,320,-192,1408,1488,320,-192,1344,1408,61,32833
2,7,1360,-256,72,0,-256,-384,1360,1488,-200,-256,1432,1488,32834,32835
2,7,1488,-192,-16,0,320,-192,1344,1488,-200,-384,1360,1488,62,63
2,7,1344,304,-16,16,320,304,1328,1344,176,128,1328,1344,32837,32838
2,7,1328,-16,16,16,0,-48,1328,1344,320,128,1328,1344,32836,65
2,7,1328,-112,0,-64,-112,-176,1320,1328,-112,-176,1328,1336,32840,32841
2,7,1336,-176,0,64,-112,-176,1336,1344,-112,-176,1320,1336,32839,67
2,7,1344,-48,-16,16,320,-48,1328,1344,-112,-176,1320,1344,66,68
2,7,1344,-112,0,64,320,-384,1344,1488,320,-176,1320,1344,64,69
2,7,1320,-96,0,-16,320,-384,432,1320,320,-384,1320,1488,60,70
2,7,1024,320,-160,0,768,320,-25,1472,320,-384,432,1488,37,71
2,7,149,554,-21,-42,729,512,-64,149,416,352,256,288,32843,32844
2,7,192,256,96,0,256,224,128,288,384,256,128,192,32846,32847
2,7,128,512,0,-128,704,252,-112,128,384,224,128,288,32845,74
2,7,288,352,-32,32,729,352,-64,288,704,224,-112,288,73,75
2,7,-112,296,400,-72,296,96,-112,288,729,224,-112,288,32842,76
2,7,320,96,0,128,224,96,320,320,224,96,288,320,32848,32849
2,7,320,256,128,0,256,224,320,448,416,320,288,352,32850,32851
2,7,288,224,32,0,224,96,288,320,416,224,288,448,78,79
2,7,288,256,0,-32,729,96,-112,288,416,96,288,448,77,80
2,7,640,64,-32,0,96,64,320,640,64,0,352,608,32852,32853
2,7,288,96,-160,-32,96,64,-16,288,96,64,128,288,32855,32856
2,7,-64,48,192,0,48,0,-112,176,96,64,-16,288,32854,83
2,7,320,64,0,32,96,0,320,640,96,0,-112,288,82,84
2,7,320,96,-32,0,729,96,-112,448,96,0,-112,640,81,85
2,7,0,-256,-64,0,-192,-256,-64,64,-256,-384,0,64,32857,32858
2,7,16,-512,48,0,-512,-704,-128,64,-448,-512,-80,16,32859,32860
2,7,-64,-448,64,0,-448,-704,-128,64,-384,-448,-64,0,88,32861
2,7,64,-384,-64,64,-192,-384,-64,64,-384,-704,-128,64,87,89
2,7,192,-256,0,64,-192,-256,192,256,-192,-256,64,128,32862,32863
2,7,272,-256,0,64,-192,-256,272,320,-192,-256,256,272,32864,32865
2,7,256,-192,0,-64,-192,-256,64,256,-192,-256,256,320,91,92
2,7,64,-288,32,-32,-288,-320,64,96,-288,-320,176,208,32868,32869
2,7,208,-288,0,32,-256,-320,208,256,-288,-320,64,208,32867,94
2,7,96,-320,80,0,-320,-384,64,256,-256,-320,64,256,32866,95
2,7,320,-256,-48,0,-192,-256,64,320,-256,-384,64,256,93,96
2,7,64,-256,0,-32,-192,-704,-128,64,-192,-384,64,320,90,97
2,7,416,-32,128,0,-32,-32,416,544,0,-32,416,544,32870,32871
2,7,272,-64,48,0,-64,-192,272,320,-32,-64,320,416,32872,32873
2,7,416,-32,0,32,0,-32,416,544,-32,-192,272,416,99,100
2,7,256,-64,0,-64,-64,-128,192,256,-64,-128,256,272,32874,32875
2,7,272,-192,0,64,0,-192,272,544,-64,-128,192,272,101,102
2,7,0,-64,64,0,-64,-64,0,64,0,-64,0,64,32876,32877
2,7,64,-64,64,0,-64,-64,64,128,0,-32,96,128,32879,32880
2,7,128,-64,0,32,0,-192,128,176,0,-64,64,128,32878,105
2,7,64,0,0,-64,0,-64,0,64,0,-192,64,176,104,106
2,7,-64,-64,64,0,-64,-64,-64,0,0,-32,-64,-32,32882,32883
2,7,-64,-32,0,-32,0,-192,-112,-64,0,-64,-64,0,32881,108
2,7,0,-64,0,64,0,-192,0,176,0,-192,-112,0,107,109
2,7,192,-128,0,64,0,-192,192,544,0,-192,-112,176,103,110
2,7,256,-192,16,0,-192,-704,-128,320,0,-192,-112,544,98,111
2,7,96,0,-32,0,729,0,-112,640,0,-704,-128,544,86,112
2,7,1040,-392,0,-8,-392,-400,1024,1040,-392,-400,1040,1072,32888,32889
2,7,1072,-392,-32,0,-384,-392,1024,1072,-392,-400,1024,1072,32887,114
2,7,1072,-400,0,8,-384,-400,1072,1088,-384,-400,1024,1072,32886,115
2,7,1040,-400,32,0,-400,-416,1024,1088,-384,-400,1024,1088,32885,116
2,7,1088,-384,-64,0,-320,-384,1024,1088,-384,-416,1024,1088,32884,117
2,7,1088,-416,-64,0,-320,-416,1024,1088,-416,-440,1024,1088,118,32890
2,7,1120,-544,-32,0,-480,-544,1024,1120,-544,-560,1024,1088,32891,32892
