episode,mission,partition_x,partition_y,partition_x_diff,partition_y_diff,rbox_top,rbox_bottom,rbox_left,rbox_right,lbox_top,lbox_bottom,lbox_left,lbox_right,rchild,lchild
3,1,-248,192,-8,-128,192,64,-352,-248,192,64,-256,-128,32768,32769
3,1,-64,64,0,128,192,64,-64,0,192,64,-128,-64,32770,32771
3,1,-128,192,0,-128,192,64,-352,-128,192,64,-128,0,0,1
3,1,-128,960,128,0,960,896,-284,0,1088,960,-352,-128,32772,32773
3,1,-248,896,-72,128,1088,896,-352,0,1024,1024,-352,-320,3,32774
3,1,0,208,-64,0,569,208,-64,0,208,192,-64,0,32775,32776
3,1,-128,256,-120,-64,526,192,-352,-128,256,192,-248,-128,32777,32778
3,1,-352,526,64,-22,526,192,-352,-128,800,480,-352,-64,6,32779
3,1,-64,192,0,16,569,192,-64,0,800,192,-352,-64,5,7
3,1,0,896,-248,0,1088,896,-352,0,800,192,-352,0,4,8
3,1,-128,192,64,0,192,64,-352,0,1088,192,-352,0,2,9
3,1,832,512,-64,0,549,512,768,832,512,176,288,832,32782,32783
3,1,768,512,-480,-280,832,232,24,832,549,176,288,832,32781,11
3,1,200,832,504,0,832,176,24,832,960,896,0,832,12,32784
3,1,0,192,128,-64,192,92,0,163,960,176,0,832,32780,13
3,1,163,92,28,-28,92,64,163,192,96,64,384,512,32786,32787
3,1,576,96,-64,0,448,96,320,832,96,64,163,512,32785,15
3,1,832,448,-512,-272,960,92,0,832,448,64,163,832,14,16
3,1,864,448,0,64,512,448,864,960,512,448,856,864,32789,32790
3,1,856,512,0,-64,512,448,832,856,512,448,856,960,32788,18
3,1,896,512,0,320,960,512,896,960,960,832,832,896,32791,32792
3,1,832,512,24,0,512,448,832,960,960,512,832,960,19,20
3,1,832,512,0,-64,960,64,0,832,960,448,832,960,17,21
3,1,0,208,0,-16,1088,64,-352,0,960,64,0,960,10,22
3,1,-504,112,152,-48,112,64,-504,-352,216,64,-504,-352,32794,32795
3,1,-352,192,-96,24,216,192,-448,-352,216,64,-504,-352,32793,24
3,1,-680,200,176,-88,200,112,-680,-504,280,112,-680,-448,32797,32798
3,1,-448,216,-120,64,280,216,-568,-448,280,112,-680,-448,32796,26
3,1,-504,112,56,104,216,64,-504,-352,280,112,-680,-448,25,27
3,1,-984,320,24,-256,467,64,-1152,-960,320,320,-984,-960,32800,32801
3,1,-896,64,-64,256,576,64,-996,-832,467,64,-1152,-960,32799,29
3,1,-568,280,-80,80,360,280,-648,-568,360,200,-752,-568,32803,32804
3,1,-752,288,72,-88,288,200,-752,-680,360,200,-752,-568,32802,31
3,1,-832,448,80,-160,448,288,-832,-752,448,288,-832,-648,32806,32807
3,1,-648,360,-56,88,448,360,-704,-648,448,288,-832,-648,32805,33
3,1,-752,288,104,72,360,200,-752,-568,448,288,-832,-648,32,34
3,1,-704,448,0,128,576,448,-704,-352,576,448,-832,-704,32808,32809
3,1,-832,448,128,0,448,200,-832,-568,576,448,-832,-352,35,36
3,1,-832,576,0,-128,576,64,-1152,-832,576,200,-832,-352,30,37
3,1,-680,200,112,80,280,64,-680,-352,576,64,-1152,-352,28,38
3,1,-768,1088,416,0,1088,1024,-832,-352,1136,1088,-832,-768,32810,32811
3,1,-704,640,-128,0,896,640,-896,-704,640,576,-832,-704,32812,32813
3,1,-352,736,-256,0,800,736,-608,-352,736,640,-704,-608,32814,32815
3,1,-608,800,256,0,800,640,-704,-352,896,800,-704,-608,42,32816
3,1,-704,640,0,-64,896,576,-896,-704,896,640,-704,-352,41,43
3,1,-352,1024,-480,0,1136,1024,-832,-352,896,576,-896,-352,40,44
3,1,-768,1152,-64,0,1744,1152,-832,-768,1152,1136,-832,-768,32817,32818
3,1,-768,1744,0,-24,1744,1136,-832,-768,1720,1152,-768,-512,46,32819
3,1,-832,1720,0,24,1744,1136,-832,-512,1720,1152,-1088,-832,47,32820
3,1,-832,1136,64,0,1136,576,-896,-352,1744,1136,-1088,-512,45,48
