episode,mission,vertex_1,vertex_2,angle,line,side,offset
1,8,18,19,16384,13,0,0
1,8,19,20,8192,14,0,0
1,8,20,21,0,15,0,0
1,8,21,22,-8192,16,0,0
1,8,22,23,-16384,17,0,0
1,8,23,24,-24576,18,0,0
1,8,24,25,-32768,19,0,0
1,8,25,18,24576,20,0,0
1,8,18,25,-8192,20,1,0
1,8,24,23,8192,18,1,0
1,8,23,22,16384,17,1,0
1,8,20,19,-24576,14,1,0
1,8,22,21,24576,16,1,0
1,8,7,10,-16384,47,0,0
1,8,19,18,-16384,13,1,0
1,8,15,2,16384,150,0,0
1,8,10,11,-24576,7,0,0
1,8,11,12,-30709,8,0,0
1,8,12,13,-32768,9,0,0
1,8,13,14,30709,10,0,0
1,8,14,15,24576,11,0,0
1,8,25,24,0,19,1,0
1,8,7,8,0,5,0,0
1,8,9,10,-32768,6,0,0
1,8,10,7,16384,47,1,0
1,8,8,9,-16384,51,0,0
1,8,8,52,0,48,0,0
1,8,52,53,-16384,49,0,0
1,8,53,9,-32768,50,0,0
1,8,9,8,16384,51,1,0
1,8,26,27,16384,22,0,0
1,8,48,49,-16384,42,0,0
1,8,49,26,-32768,60,0,0
1,8,27,48,0,61,1,0
1,8,4,26,16384,21,0,0
1,8,49,5,-16384,43,0,0
1,8,5,4,-32768,59,0,0
1,8,26,49,0,60,1,0
1,8,2,3,8192,1,0,0
1,8,3,4,3968,2,0,0
1,8,5,6,-3968,3,0,0
1,8,6,7,-8192,4,0,0
1,8,21,20,-32768,15,1,0
1,8,4,5,0,59,1,0
1,8,123,2,0,146,0,0
1,8,15,124,-32768,147,0,0
1,8,2,15,-16384,150,1,0
1,8,124,123,16384,151,0,0
1,8,122,123,0,145,0,0
1,8,124,125,-32768,148,0,0
1,8,123,124,-16384,151,1,0
1,8,125,122,16384,152,0,0
1,8,16,1,16384,46,0,0
1,8,1,122,0,144,0,0
1,8,125,16,-32768,149,0,0
1,8,122,125,-16384,152,1,0
1,8,17,54,-32768,52,0,0
1,8,54,55,16384,53,0,0
1,8,55,0,0,54,0,0
1,8,120,121,-16384,141,0,0
1,8,0,120,-16384,142,0,0
1,8,121,17,-16384,143,0,0
1,8,0,1,0,0,0,0
1,8,16,17,-32768,12,0,0
1,8,1,16,-16384,46,1,0
1,8,121,120,16384,141,1,0
1,8,120,0,16384,142,1,0
1,8,17,121,16384,143,1,0
1,8,33,34,16384,29,0,0
1,8,41,42,-16384,35,0,0
1,8,42,33,-32768,67,0,0
1,8,34,41,0,68,1,0
1,8,32,33,16384,28,0,0
1,8,42,43,-16384,36,0,0
1,8,43,32,-32768,66,0,0
1,8,33,42,0,67,1,0
1,8,31,32,16384,27,0,0
1,8,43,44,-16384,37,0,0
1,8,44,31,-32768,65,0,0
1,8,32,43,0,66,1,0
1,8,30,31,16384,26,0,0
1,8,44,45,-16384,38,0,0
1,8,45,30,-32768,64,0,0
1,8,31,44,0,65,1,0
1,8,29,30,16384,25,0,0
1,8,45,46,-16384,39,0,0
1,8,46,29,-32768,63,0,0
1,8,30,45,0,64,1,0
1,8,28,29,16384,24,0,0
1,8,46,47,-16384,40,0,0
1,8,47,28,-32768,62,0,0
1,8,29,46,0,63,1,0
1,8,27,28,16384,23,0,0
1,8,47,48,-16384,41,0,0
1,8,48,27,-32768,61,0,0
1,8,28,47,0,62,1,0
1,8,37,50,-32768,44,0,0
1,8,51,38,-32768,45,0,0
1,8,38,37,-32768,71,0,0
1,8,108,109,0,120,0,0
1,8,109,51,-16384,121,0,0
1,8,50,110,16384,122,0,0
1,8,110,111,0,123,0,0
1,8,111,108,0,132,0,0
1,8,36,37,16384,32,0,0
1,8,38,39,-16384,33,0,0
1,8,39,36,-32768,70,0,0
1,8,37,38,0,71,1,0
1,8,107,108,-16384,119,0,0
1,8,111,112,16384,124,0,0
1,8,112,107,0,129,0,0
1,8,108,111,-32768,132,1,0
1,8,106,107,-16384,118,0,0
1,8,112,113,16384,125,0,0
1,8,107,112,-32768,129,1,0
1,8,113,106,0,130,1,0
1,8,35,36,16384,31,0,0
1,8,39,40,-16384,34,0,0
1,8,40,35,-32768,69,0,0
1,8,36,39,0,70,1,0
1,8,34,35,16384,30,0,0
1,8,41,34,-32768,68,0,0
1,8,35,40,0,69,1,0
1,8,40,41,-16384,140,0,0
1,8,117,116,16384,136,0,0
1,8,116,118,0,137,0,0
1,8,118,119,-16384,138,0,0
1,8,119,117,-32768,139,0,0
1,8,40,39,16384,34,1,0
1,8,39,116,0,134,0,0
1,8,117,41,-32768,135,0,0
1,8,116,117,-16384,136,1,0
1,8,41,40,16384,140,1,0
1,8,90,91,16384,104,0,0
1,8,92,264,-16384,105,0,0
1,8,146,92,0,177,0,0
1,8,91,185,0,230,0,0
1,8,185,146,0,231,0,0
1,8,145,144,-32768,176,0,0
1,8,265,266,0,227,0,128
1,8,91,144,16384,174,0,0
1,8,145,92,-16384,175,0,0
1,8,144,145,0,176,1,0
1,8,92,146,-32768,177,1,0
1,8,185,91,-32768,230,1,0
1,8,146,185,-32768,231,1,0
1,8,102,90,8192,112,0,0
1,8,267,138,-26071,167,0,1055
1,8,138,139,28010,168,0,0
1,8,139,268,13336,169,0,0
1,8,269,222,-19522,284,0,268
1,8,102,267,-26071,167,0,0
1,8,220,221,-16384,281,0,0
1,8,221,102,-22517,282,0,0
1,8,222,220,6534,283,0,0
1,8,270,102,-24576,112,1,90
1,8,102,221,10250,282,1,0
1,8,91,90,-16384,104,1,0
1,8,90,270,-24576,112,1,0
1,8,271,91,-16384,174,1,57
1,8,221,220,16384,281,1,0
1,8,94,272,13117,106,0,0
1,8,144,94,-26144,180,0,0
1,8,165,144,-8192,203,0,0
1,8,272,94,-19650,106,1,277
1,8,273,269,13245,284,1,66
1,8,144,271,-16384,174,1,0
1,8,94,144,6623,180,1,0
1,8,220,222,-26233,283,1,0
1,8,222,273,13245,284,1,0
1,8,144,165,24576,203,1,0
1,8,165,265,0,227,0,0
1,8,74,75,16384,85,0,0
1,8,76,77,-16384,86,0,0
1,8,83,86,16384,97,0,0
1,8,87,82,-16384,98,0,0
1,8,77,88,-16384,100,0,0
1,8,89,74,16384,103,0,0
1,8,75,76,0,114,0,0
1,8,82,104,-16384,115,0,0
1,8,104,105,-32768,116,0,0
1,8,114,115,-32768,127,0,0
1,8,115,83,16384,128,0,0
1,8,105,114,-32768,131,0,0
1,8,105,106,-16384,117,0,0
1,8,113,114,16384,126,0,0
1,8,106,113,-32768,130,0,0
1,8,114,105,0,131,1,0
1,8,264,93,-16384,105,0,736
1,8,76,75,-32768,114,1,0
1,8,233,76,-16384,296,0,0
1,8,75,234,16384,297,0,0
1,8,86,85,-32768,96,0,0
1,8,72,89,0,102,0,0
1,8,83,84,-32768,93,0,0
1,8,84,85,16384,94,0,0
1,8,85,86,0,96,1,0
1,8,86,83,-16384,97,1,0
1,8,60,61,16384,57,0,0
1,8,62,63,16384,58,0,0
1,8,63,60,16384,73,0,0
1,8,61,72,0,82,0,0
1,8,85,62,-32768,95,0,0
1,8,64,65,-16384,74,0,0
1,8,66,67,-16384,76,0,0
1,8,129,128,16384,156,0,0
1,8,130,129,24576,157,0,0
1,8,131,130,-32768,158,0,0
1,8,67,131,-23095,159,0,0
1,8,60,63,-16384,73,1,0
1,8,65,60,0,75,0,0
1,8,63,66,-32768,77,0,0
1,8,126,64,-9672,153,0,0
1,8,127,126,0,154,0,0
1,8,128,127,8528,155,0,0
1,8,72,73,16384,83,0,0
1,8,73,74,0,84,0,0
1,8,89,72,-32768,102,1,0
1,8,74,89,-16384,103,1,0
1,8,234,102,22385,298,0,0
1,8,93,103,-8192,113,0,0
1,8,274,142,-13010,171,0,3611
1,8,142,275,-28450,172,0,0
1,8,230,276,19522,291,0,0
1,8,275,143,-28450,172,0,2370
1,8,143,103,25385,173,0,0
1,8,231,230,-6534,292,0,0
1,8,232,231,16384,293,0,0
1,8,103,232,22517,294,0,0
1,8,103,277,24576,113,1,0
1,8,232,103,-10250,294,1,0
1,8,93,92,16384,105,1,0
1,8,277,93,24576,113,1,181
1,8,92,278,16384,175,1,0
1,8,231,232,-16384,293,1,0
1,8,147,145,26144,178,0,0
