episode,mission,vertex_1,vertex_2,angle,line,side,offset
3,5,749,750,16384,920,0,0
3,5,744,749,-32768,929,0,0
3,5,744,745,-8192,915,0,0
3,5,747,748,-32768,918,0,0
3,5,748,749,16384,919,0,0
3,5,749,744,0,929,1,0
3,5,738,739,-32768,909,0,0
3,5,739,740,16384,910,0,0
3,5,755,756,0,926,0,0
3,5,756,738,-16384,928,0,0
3,5,740,755,0,931,0,0
3,5,743,744,-16384,914,0,0
3,5,750,743,0,930,0,0
3,5,745,746,0,916,0,0
3,5,746,747,-16384,917,0,0
3,5,49,53,-32768,51,0,0
3,5,54,55,16384,52,0,0
3,5,56,57,0,53,0,0
3,5,62,63,0,58,0,0
3,5,57,62,0,174,0,0
3,5,763,54,-32768,939,0,0
3,5,55,764,0,940,0,0
3,5,764,771,0,948,0,0
3,5,771,772,0,949,0,0
3,5,772,56,0,950,0,0
3,5,53,775,-32768,956,0,0
3,5,778,763,-32768,961,0,0
3,5,775,778,-32768,962,0,0
3,5,55,54,-16384,52,1,0
3,5,54,738,-32768,908,0,0
3,5,756,55,0,927,0,0
3,5,738,756,16384,928,1,0
3,5,94,95,0,88,0,0
3,5,95,96,-16384,89,0,0
3,5,99,100,-16384,95,0,0
3,5,100,98,-32768,96,0,0
3,5,1132,103,0,99,0,64
3,5,96,99,-16384,171,0,0
3,5,103,94,0,172,0,0
3,5,98,97,-32768,175,0,0
3,5,59,97,16384,92,0,0
3,5,98,60,-16384,93,0,0
3,5,60,59,-32768,122,0,0
3,5,97,98,0,175,1,0
3,5,57,58,16384,54,0,0
3,5,61,62,-16384,57,0,0
3,5,58,61,0,123,0,0
3,5,62,57,-32768,174,1,0
3,5,58,59,16384,55,0,0
3,5,60,61,-16384,56,0,0
3,5,59,60,0,122,1,0
3,5,61,58,-32768,123,1,0
3,5,97,101,-32768,97,0,0
3,5,101,102,16384,98,0,0
3,5,102,1132,0,99,0,0
3,5,765,766,-32768,942,0,0
3,5,766,767,16384,943,0,0
3,5,767,768,0,944,0,0
3,5,768,769,-16384,945,0,0
3,5,769,770,-32768,946,0,0
3,5,770,773,-32768,951,0,0
3,5,773,774,-32768,952,0,0
3,5,774,765,-32768,953,0,0
3,5,764,765,16384,941,0,0
3,5,771,764,-32768,948,1,0
3,5,765,774,0,953,1,0
3,5,774,771,-16384,954,0,0
3,5,772,771,-32768,949,1,0
3,5,774,773,0,952,1,0
3,5,771,774,16384,954,1,0
3,5,773,772,-16384,955,0,0
3,5,770,56,-16384,947,0,0
3,5,56,772,-32768,950,1,0
3,5,773,770,0,951,1,0
3,5,772,773,16384,955,1,0
3,5,740,741,24576,911,0,0
3,5,1133,752,8192,922,0,45
3,5,752,753,0,923,0,0
3,5,753,754,-8192,924,0,0
3,5,754,755,-16384,925,0,0
3,5,755,740,-32768,931,1,0
3,5,742,743,-24576,913,0,0
3,5,750,751,16384,921,0,0
3,5,751,1133,8192,922,0,0
3,5,743,750,-32768,930,1,0
3,5,741,742,-32768,912,0,0
3,5,47,49,16384,45,0,0
3,5,50,48,-16384,46,0,0
3,5,48,47,-32768,310,0,0
3,5,44,47,16384,43,0,0
3,5,48,45,-16384,44,0,0
3,5,47,48,0,310,1,0
3,5,45,44,-32768,311,1,0
3,5,757,758,0,933,0,0
3,5,758,759,-16384,934,0,0
3,5,759,760,-32768,935,0,0
3,5,760,761,16384,936,0,0
3,5,761,762,0,937,0,0
3,5,776,757,0,957,0,0
3,5,777,776,0,959,0,0
3,5,762,777,0,960,0,0
3,5,775,776,-16384,958,0,0
