episode,mission,vertex_1,vertex_2,flags,action_special,sector_tag,front_side,back_side
3,7,0,1,1,0,0,0,65535
3,7,2,3,1,0,0,1,65535
3,7,4,0,1,0,0,2,65535
3,7,5,6,1,0,0,3,65535
3,7,6,7,1,0,0,4,65535
3,7,8,4,1,0,0,5,65535
3,7,9,8,1,0,0,6,65535
3,7,7,10,1,0,0,7,65535
3,7,11,9,1,0,0,8,65535
3,7,12,13,1,0,0,9,65535
3,7,14,15,1,0,0,10,65535
3,7,13,16,1,0,0,11,65535
3,7,17,14,1,0,0,12,65535
3,7,16,18,1,0,0,13,65535
3,7,19,17,1,0,0,14,65535
3,7,20,21,1,0,0,15,65535
3,7,22,23,1,0,0,16,65535
3,7,24,22,1,0,0,17,65535
3,7,25,24,1,0,0,18,65535
3,7,26,25,1,0,0,19,65535
3,7,27,28,1,0,0,20,65535
3,7,29,27,1,0,0,21,65535
3,7,30,29,1,0,0,22,65535
3,7,31,30,1,0,0,23,65535
3,7,32,33,1,0,0,24,65535
3,7,18,32,1,0,0,25,65535
3,7,21,19,1,0,0,26,65535
3,7,10,34,1,0,0,27,65535
3,7,34,12,1,0,0,28,65535
3,7,35,11,1,0,0,29,65535
3,7,28,26,12,0,0,30,31
3,7,28,36,1,0,0,32,65535
3,7,37,26,1,0,0,33,65535
3,7,38,31,1,0,0,34,65535
3,7,33,39,1,0,0,35,65535
3,7,39,40,1,0,0,36,65535
3,7,41,38,1,0,0,37,65535
3,7,42,43,1,0,0,38,65535
3,7,44,45,1,0,0,39,65535
3,7,45,46,1,0,0,40,65535
3,7,46,47,1,0,0,41,65535
3,7,47,41,1,0,0,42,65535
3,7,33,31,68,0,0,43,44
3,7,48,49,1,0,0,45,65535
3,7,49,50,1,0,0,46,65535
3,7,50,51,1,0,0,47,65535
3,7,51,52,1,0,0,48,65535
3,7,52,53,1,0,0,49,65535
3,7,53,42,1,0,0,50,65535
3,7,15,54,1,0,0,51,65535
3,7,54,55,1,0,0,52,65535
3,7,55,35,1,0,0,53,65535
3,7,56,5,1,0,0,54,65535
3,7,3,57,1,0,0,55,65535
3,7,57,56,1,0,0,56,65535
3,7,15,12,12,2,23,57,58
3,7,34,54,12,0,0,59,60
3,7,11,6,12,0,0,61,62
3,7,5,58,12,0,0,63,64
3,7,58,59,12,0,0,65,66
3,7,59,9,12,0,0,67,68
3,7,60,61,4,0,0,69,70
3,7,62,60,4,0,0,71,72
3,7,63,64,4,0,0,73,74
3,7,64,65,4,0,0,75,76
3,7,65,66,4,0,0,77,78
3,7,67,62,4,0,0,79,80
3,7,68,31,4,0,0,81,82
3,7,66,68,4,0,0,83,84
3,7,69,67,4,0,0,85,86
3,7,23,69,4,0,0,87,88
3,7,70,71,20,0,0,89,90
3,7,72,70,20,0,0,91,92
3,7,73,72,20,0,0,93,94
3,7,74,73,20,0,0,95,96
3,7,75,74,20,0,0,97,98
3,7,76,75,20,0,0,99,100
3,7,77,76,20,0,0,101,102
3,7,78,77,20,0,0,103,104
3,7,63,13,4,0,0,105,106
3,7,14,61,4,0,0,107,108
3,7,79,63,4,0,0,109,110
3,7,61,79,4,0,0,111,112
3,7,43,80,1,0,0,113,65535
3,7,80,81,1,0,0,114,65535
3,7,82,44,1,0,0,115,65535
3,7,81,83,1,0,0,116,65535
3,7,83,84,1,0,0,117,65535
3,7,84,85,1,0,0,118,65535
