episode,mission,vertex_1,vertex_2,flags,action_special,sector_tag,front_side,back_side
2,5,0,1,1,0,0,0,65535
2,5,2,3,1,0,0,1,65535
2,5,4,5,1,0,0,2,65535
2,5,6,0,1,0,0,3,65535
2,5,7,8,17,0,0,4,65535
2,5,9,10,17,0,0,5,65535
2,5,11,12,1,0,0,6,65535
2,5,13,14,1,0,0,7,65535
2,5,15,13,17,0,0,8,65535
2,5,16,17,1,0,0,9,65535
2,5,12,18,17,0,0,10,65535
2,5,19,20,1,0,0,11,65535
2,5,18,19,17,0,0,12,65535
2,5,17,15,17,0,0,13,65535
2,5,17,19,4,63,24,14,15
2,5,21,22,4,0,0,16,17
2,5,23,24,4,0,0,18,19
2,5,25,26,1,0,0,20,65535
2,5,27,28,1,0,0,21,65535
2,5,29,30,1,0,0,22,65535
2,5,31,32,17,0,0,23,65535
2,5,32,33,17,0,0,24,65535
2,5,33,34,17,0,0,25,65535
2,5,34,35,17,0,0,26,65535
2,5,35,36,17,0,0,27,65535
2,5,36,37,17,0,0,28,65535
2,5,37,38,17,0,0,29,65535
2,5,38,31,17,0,0,30,65535
2,5,22,39,4,0,0,31,32
2,5,39,40,4,0,0,33,34
2,5,41,23,4,0,0,35,36
2,5,42,41,4,0,0,37,38
2,5,43,40,1,0,0,39,65535
2,5,44,45,1,0,0,40,65535
2,5,14,21,1,0,0,41,65535
2,5,46,47,1,0,0,42,65535
2,5,24,11,1,0,0,43,65535
2,5,48,49,1,0,0,44,65535
2,5,28,42,1,0,0,45,65535
2,5,40,29,1,0,0,46,65535
2,5,50,51,1,0,0,47,65535
2,5,51,52,1,0,0,48,65535
2,5,52,53,1,0,0,49,65535
2,5,53,54,1,0,0,50,65535
2,5,55,56,1,0,0,51,65535
2,5,56,57,1,0,0,52,65535
2,5,57,58,1,0,0,53,65535
2,5,58,59,1,0,0,54,65535
2,5,60,61,1,0,0,55,65535
2,5,62,60,1,0,0,56,65535
2,5,63,62,1,0,0,57,65535
2,5,64,63,1,0,0,58,65535
2,5,65,64,1,0,0,59,65535
2,5,66,67,1,0,0,60,65535
2,5,68,66,1,0,0,61,65535
2,5,69,70,1,0,0,62,65535
2,5,71,69,1,0,0,63,65535
2,5,61,71,12,0,0,64,65
2,5,67,65,1,0,0,66,65535
2,5,54,55,29,0,0,67,68
2,5,72,73,1,0,0,69,65535
2,5,73,74,1,0,0,70,65535
2,5,74,75,1,0,0,71,65535
2,5,76,77,1,0,0,72,65535
2,5,77,50,1,0,0,73,65535
2,5,70,78,1,0,0,74,65535
2,5,79,80,17,0,0,75,65535
2,5,81,68,1,0,0,76,65535
2,5,59,82,1,0,0,77,65535
2,5,12,13,12,0,0,78,79
2,5,83,79,1,0,0,80,65535
2,5,84,85,17,0,0,81,65535
2,5,86,24,1,0,0,82,65535
2,5,49,86,1,0,0,83,65535
2,5,21,87,1,0,0,84,65535
2,5,87,46,1,0,0,85,65535
2,5,86,88,68,0,0,86,87
2,5,88,89,68,0,0,88,89
2,5,89,90,68,0,0,90,91
2,5,45,91,1,0,0,92,65535
2,5,90,91,68,0,0,93,94
2,5,92,87,68,0,0,95,96
2,5,93,92,68,0,0,97,98
2,5,94,93,68,0,0,99,100
2,5,95,43,1,0,0,101,65535
2,5,96,94,68,0,0,102,103
2,5,97,98,1,0,0,104,65535
2,5,99,97,1,0,0,105,65535
2,5,100,101,1,0,0,106,65535
2,5,102,103,1,0,0,107,65535
2,5,104,105,1,0,0,108,65535
2,5,103,104,17,0,0,109,65535
2,5,101,99,17,0,0,110,65535
2,5,101,104,4,1,0,111,112
2,5,103,99,4,63,25,113,114
2,5,105,106,1,0,0,115,65535
2,5,106,107,1,0,0,116,65535
2,5,108,100,1,0,0,117,65535
2,5,109,108,1,0,0,118,65535
2,5,107,110,1,0,0,119,65535
2,5,111,112,1,0,0,120,65535
2,5,113,114,4,1,0,121,122
2,5,115,116,1,0,0,123,65535
2,5,117,109,1,0,0,124,65535
2,5,26,118,1,0,0,125,65535
2,5,118,119,1,0,0,126,65535
2,5,119,120,1,0,0,127,65535
2,5,120,121,1,0,0,128,65535
2,5,121,122,1,0,0,129,65535
2,5,123,27,1,0,0,130,65535
2,5,124,123,1,0,0,131,65535
2,5,125,124,1,0,0,132,65535
2,5,126,125,1,0,0,133,65535
2,5,30,127,1,0,0,134,65535
2,5,127,128,1,0,0,135,65535
2,5,128,129,1,0,0,136,65535
2,5,129,130,1,0,0,137,65535
2,5,131,25,1,0,0,138,65535
2,5,132,131,1,0,0,139,65535
2,5,133,132,1,0,0,140,65535
2,5,134,133,1,0,0,141,65535
2,5,98,134,1,0,0,142,65535
2,5,123,118,76,0,0,143,144
2,5,124,119,4,0,0,145,146
2,5,125,120,4,0,0,147,148
2,5,126,121,4,0,0,149,150
2,5,126,122,76,0,0,151,152
2,5,131,127,76,0,0,153,154
2,5,132,128,4,0,0,155,156
2,5,133,129,4,0,0,157,158
2,5,134,130,4,0,0,159,160
2,5,98,130,76,0,0,161,162
2,5,130,135,1,0,0,163,65535
2,5,136,137,1,0,0,164,65535
2,5,137,138,1,0,0,165,65535
2,5,139,126,1,0,0,166,65535
2,5,122,140,1,0,0,167,65535
2,5,140,102,1,0,0,168,65535
2,5,141,142,4,1,0,169,170
2,5,112,143,1,0,0,171,65535
2,5,144,115,1,0,0,172,65535
2,5,145,146,1,0,0,173,65535
2,5,147,148,1,0,0,174,65535
2,5,148,149,1,0,0,175,65535
2,5,150,145,1,0,0,176,65535
2,5,113,142,17,0,0,177,65535
2,5,141,114,17,0,0,178,65535
2,5,151,152,1,0,0,179,65535
2,5,80,153,1,0,0,180,65535
2,5,154,72,1,0,0,181,65535
2,5,155,156,17,0,0,182,65535
2,5,157,158,17,0,0,183,65535
2,5,158,7,17,0,0,184,65535
2,5,159,160,17,0,0,185,65535
2,5,161,162,17,0,0,186,65535
2,5,160,154,1,0,0,187,65535
2,5,10,159,1,0,0,188,65535
2,5,153,161,1,0,0,189,65535
2,5,162,157,1,0,0,190,65535
2,5,82,163,1,0,0,191,65535
2,5,164,165,1,0,0,192,65535
2,5,166,167,1,0,0,193,65535
2,5,165,168,1,0,0,194,65535
2,5,169,170,1,0,0,195,65535
2,5,171,164,1,0,0,196,65535
2,5,168,172,1,0,0,197,65535
2,5,173,169,1,0,0,198,65535
2,5,174,173,1,0,0,199,65535
2,5,175,176,4,63,30,200,201
2,5,177,178,4,63,30,202,203
2,5,177,176,17,0,0,204,65535
2,5,175,178,17,0,0,205,65535
2,5,176,179,1,0,0,206,65535
2,5,172,177,1,0,0,207,65535
2,5,5,175,1,0,0,208,65535
2,5,178,174,1,0,0,209,65535
2,5,172,174,12,0,0,210,211
2,5,180,9,17,0,0,212,65535
2,5,181,182,17,0,0,213,65535
2,5,183,184,1,0,0,214,65535
2,5,184,185,29,0,0,215,216
2,5,185,186,1,0,0,217,65535
2,5,54,185,1,0,0,218,65535
2,5,184,55,1,0,0,219,65535
2,5,16,20,12,0,1,220,221
2,5,187,188,17,0,0,222,65535
2,5,189,16,1,0,0,223,65535
2,5,20,190,1,0,0,224,65535
2,5,182,191,17,0,0,225,65535
2,5,192,180,17,0,0,226,65535
2,5,102,136,196,0,0,227,228
2,5,152,97,196,0,0,229,230
2,5,152,193,1,0,0,231,65535
2,5,194,136,1,0,0,232,65535
2,5,195,196,1,0,0,233,65535
2,5,197,198,1,0,0,234,65535
2,5,193,199,17,0,0,235,65535
2,5,200,197,1,0,0,236,65535
2,5,199,201,1,0,0,237,65535
2,5,196,202,1,0,0,238,65535
