episode,mission,vertex_1,vertex_2,flags,action_special,sector_tag,front_side,back_side
3,4,0,1,1,0,0,0,65535
3,4,2,3,1,0,0,1,65535
3,4,4,5,1,0,0,2,65535
3,4,6,7,1,0,0,3,65535
3,4,8,9,1,0,0,4,65535
3,4,9,10,1,0,0,5,65535
3,4,10,11,1,0,0,6,65535
3,4,11,12,1,0,0,7,65535
3,4,13,14,1,0,0,8,65535
3,4,14,15,1,0,0,9,65535
3,4,15,6,1,0,0,10,65535
3,4,12,16,1,0,0,11,65535
3,4,16,17,1,0,0,12,65535
3,4,17,18,1,0,0,13,65535
3,4,18,19,1,0,0,14,65535
3,4,19,13,1,0,0,15,65535
3,4,16,19,4,0,0,16,17
3,4,7,8,4,0,0,18,19
3,4,20,21,4,0,0,20,21
3,4,22,23,4,0,0,22,23
3,4,24,25,4,0,0,24,25
3,4,26,27,13,0,0,26,27
3,4,28,29,1,0,0,28,65535
3,4,30,20,1,0,0,29,65535
3,4,29,30,13,0,0,30,31
3,4,21,31,1,0,0,32,65535
3,4,31,32,13,0,0,33,34
3,4,33,21,1,0,0,35,65535
3,4,34,33,1,0,0,36,65535
3,4,35,36,1,0,0,37,65535
3,4,20,35,1,0,0,38,65535
3,4,25,37,1,0,0,39,65535
3,4,37,34,1,0,0,40,65535
3,4,36,38,1,0,0,41,65535
3,4,38,24,1,0,0,42,65535
3,4,23,39,1,0,0,43,65535
3,4,39,40,1,0,0,44,65535
3,4,41,42,1,0,0,45,65535
3,4,42,22,1,0,0,46,65535
3,4,43,44,1,0,0,47,65535
3,4,44,41,1,0,0,48,65535
3,4,40,45,1,0,0,49,65535
3,4,45,46,1,0,0,50,65535
3,4,26,47,129,0,0,51,65535
3,4,48,27,129,0,0,52,65535
3,4,29,49,129,0,0,53,65535
3,4,50,30,129,0,0,54,65535
3,4,51,32,129,0,0,55,65535
3,4,52,53,129,0,0,56,65535
3,4,7,54,1,0,0,57,65535
3,4,54,23,1,0,0,58,65535
3,4,24,55,1,0,0,59,65535
3,4,55,8,1,0,0,60,65535
3,4,56,57,4,0,0,61,62
3,4,58,31,4,0,0,63,64
3,4,59,60,1,0,0,65,65535
3,4,60,61,1,0,0,66,65535
3,4,61,62,1,0,0,67,65535
3,4,62,63,1,0,0,68,65535
3,4,63,64,1,0,0,69,65535
3,4,64,65,1,0,0,70,65535
3,4,65,66,1,0,0,71,65535
3,4,66,59,1,0,0,72,65535
3,4,67,68,1,0,0,73,65535
3,4,68,69,1,0,0,74,65535
3,4,69,70,1,0,0,75,65535
3,4,70,71,1,0,0,76,65535
3,4,71,72,1,0,0,77,65535
3,4,72,73,1,0,0,78,65535
3,4,73,74,1,0,0,79,65535
3,4,74,67,1,0,0,80,65535
3,4,75,4,1,0,0,81,65535
3,4,76,77,1,0,0,82,65535
3,4,78,79,1,0,0,83,65535
