episode,mission,x_position,y_position,direction,type,flags
1,9,96,-272,0,1,7
1,9,32,-224,0,2,7
1,9,32,-320,0,3,7
1,9,32,-272,0,4,7
1,9,672,-32,225,3001,7
1,9,608,32,225,3001,7
1,9,736,96,225,3001,7
1,9,672,128,225,3001,6
1,9,768,32,225,3001,6
1,9,688,48,225,3001,6
1,9,784,144,225,3001,4
1,9,608,128,225,3001,4
1,9,768,-32,225,3001,4
1,9,-576,64,225,6,7
1,9,-576,288,0,9,15
1,9,-576,-160,0,9,14
1,9,-512,64,0,3001,14
1,9,-256,64,0,3001,12
1,9,-192,320,270,3002,12
1,9,-192,-192,90,3002,12
1,9,1856,-1088,270,13,7
1,9,1920,-1024,135,3001,7
1,9,1792,-1152,135,3001,7
1,9,1984,-896,135,3001,6
1,9,1664,-1232,135,3001,6
1,9,1824,-1040,135,9,6
1,9,1664,-1152,135,9,6
1,9,1920,-896,135,9,6
1,9,1792,-832,90,9,4
1,9,1600,-1024,180,9,4
1,9,1984,-1024,180,2011,7
1,9,1504,-736,180,2011,7
1,9,2016,-736,180,2008,7
1,9,1504,-1248,180,2007,7
1,9,1600,-736,180,2007,7
1,9,1728,-896,0,2035,7
1,9,1600,-1120,0,2035,7
1,9,608,-992,180,3002,7
1,9,608,-1056,180,3002,7
1,9,672,-992,180,3002,6
1,9,672,-1056,180,3002,6
1,9,736,-992,180,3002,6
1,9,736,-1056,180,3002,6
1,9,800,-992,180,3002,4
1,9,800,-1056,180,3002,4
1,9,-128,-1408,180,2049,7
1,9,-320,-1408,180,2048,7
1,9,448,-1408,180,2012,7
1,9,-368,-1456,180,2028,7
1,9,496,-1456,180,2028,7
1,9,-528,-1232,180,35,7
1,9,-320,-1216,45,3001,7
1,9,-576,-960,45,3001,7
1,9,-448,-1088,45,3001,7
1,9,-352,-1120,45,9,6
1,9,-480,-992,45,9,6
1,9,-384,-1024,45,9,6
1,9,-96,-768,270,9,4
1,9,-128,-736,180,9,4
1,9,-192,-1024,180,2035,7
1,9,-608,-1008,180,2035,7
1,9,-624,-1376,180,2035,7
1,9,-592,-1376,180,2035,7
1,9,-560,-1376,180,2035,7
1,9,-528,-1376,180,2035,7
1,9,-320,-1248,180,2035,7
1,9,-368,-1248,180,2035,7
1,9,-272,-1248,180,2035,7
1,9,400,-1248,180,2035,7
1,9,448,-1248,180,2035,7
1,9,496,-1248,180,2035,7
1,9,-608,-736,180,2014,7
1,9,-544,-736,180,2014,7
