episode,mission,x_position,y_position,direction,type,flags
3,3,-160,-1248,90,1,7
3,3,-288,-1248,90,2,7
3,3,-416,-1248,90,3,7
3,3,-544,-1248,90,4,7
3,3,-224,-720,0,2007,7
3,3,-176,-768,0,2047,7
3,3,-176,-720,0,2049,7
3,3,-208,-784,0,2010,2
3,3,-512,-736,0,2008,7
3,3,-672,-288,0,2007,7
3,3,-32,-288,0,2008,7
3,3,1472,736,0,2023,7
3,3,560,-336,0,2048,7
3,3,560,-368,0,2012,7
3,3,448,448,0,2002,7
3,3,448,704,0,2012,7
3,3,448,656,0,2008,7
3,3,544,-32,0,2007,7
3,3,-800,-288,0,2007,7
3,3,-480,864,0,2047,0
3,3,-608,880,0,2047,0
3,3,-96,512,0,2012,7
3,3,-224,176,0,2006,7
3,3,-448,528,0,2013,7
3,3,-1280,-544,270,3001,7
3,3,-992,-544,270,3001,7
3,3,-896,224,0,2022,7
3,3,-912,-800,0,2007,7
3,3,352,32,0,2049,7
3,3,80,368,0,2012,7
3,3,-1264,-160,0,3002,14
3,3,-1104,-160,0,3002,14
3,3,-1296,-272,0,2007,7
3,3,-1104,-272,0,2012,7
3,3,-1200,96,270,3001,7
3,3,-1152,496,270,3001,6
3,3,-464,-48,270,3001,12
3,3,-304,-352,270,3001,15
3,3,-160,-864,270,3002,4
3,3,288,1408,270,3001,7
3,3,448,1424,225,3001,4
3,3,496,1360,225,3001,7
3,3,512,-736,135,3001,6
3,3,464,-1120,135,3001,6
3,3,624,-1120,135,3001,6
3,3,688,-608,225,3002,15
3,3,-352,-48,270,3001,15
3,3,-240,-80,270,3001,12
3,3,-176,-240,270,3001,14
3,3,-80,-784,0,40,7
3,3,-256,1168,270,3001,6
3,3,0,1216,270,3001,6
3,3,240,848,45,3001,7
3,3,432,944,45,3001,7
3,3,464,1120,45,3001,7
3,3,-480,768,180,3001,7
3,3,-720,880,0,2011,7
3,3,-560,-752,0,2007,7
3,3,-512,-784,0,2008,7
3,3,432,-736,225,3001,14
3,3,336,-784,0,57,7
3,3,816,-784,0,57,7
3,3,816,-1072,0,57,7
3,3,336,-1072,0,57,7
3,3,-96,160,90,3006,15
3,3,-672,-96,90,3006,15
3,3,32,-288,0,2019,7
3,3,-592,304,0,17,7
3,3,-224,416,90,3006,14
3,3,1744,416,270,3002,14
3,3,1152,416,0,3005,7
3,3,1056,864,180,3002,15
3,3,928,800,0,3002,14
3,3,-352,-288,0,2001,7
3,3,640,912,270,3003,14
3,3,-768,32,0,3002,14
3,3,848,624,0,2012,7
3,3,848,848,0,2047,7
3,3,-176,816,270,3002,6
3,3,928,992,0,2015,7
3,3,992,992,0,2015,7
3,3,1056,992,0,2015,7
3,3,-624,-784,0,2011,7
3,3,-1296,-800,0,2011,7
3,3,-1008,176,90,3001,14
3,3,1040,1360,0,2018,7
3,3,1200,1264,0,2012,3
3,3,944,1136,0,2011,7
3,3,1072,1232,0,8,7
3,3,1136,1328,0,2048,7
3,3,-368,912,0,2012,7
3,3,-272,912,0,2012,7
3,3,-304,912,0,2026,7
3,3,-336,912,0,2008,7
3,3,48,912,0,2048,7
3,3,16,912,0,2011,7
3,3,-16,912,0,2011,7
3,3,-32,928,45,3002,7
3,3,-1296,-608,315,3005,6
3,3,-1072,-16,315,3001,6
3,3,368,1456,225,3001,4
3,3,368,1392,225,3001,7
3,3,432,1328,225,3001,4
3,3,304,1280,225,3001,6
3,3,0,768,45,3001,7
3,3,-1120,864,315,3005,10
3,3,704,192,270,3006,7
3,3,1392,112,180,3006,6
3,3,1392,-304,180,3006,6
3,3,1392,-96,180,3006,3
3,3,1200,1168,0,2011,7
3,3,1264,1168,0,2011,7
3,3,928,672,0,3001,14
3,3,-672,880,0,2019,7
3,3,-1280,-112,0,2008,7
3,3,-1088,-112,0,2008,7
3,3,-352,-800,0,2007,7
3,3,-352,-608,0,2007,7
3,3,-272,-1248,0,2001,1
3,3,-272,-1216,0,2012,1
3,3,-400,-1248,0,2048,7
3,3,-528,-1248,0,2008,7
3,3,-480,-352,0,2011,7
3,3,-224,-352,0,2011,7
3,3,-576,576,0,2012,7
3,3,-576,512,0,2012,7
3,3,-128,512,270,9,15
3,3,32,-288,0,2012,1
3,3,784,-848,0,2049,7
3,3,784,-1008,0,2007,7
3,3,400,-848,0,2011,7
3,3,400,-1008,0,2007,7
3,3,-1264,-272,0,2008,7
3,3,-1072,-272,0,2010,7
3,3,-1184,336,0,2008,7
3,3,-1184,192,0,2008,7
3,3,-960,704,0,2011,7
3,3,-1088,768,0,2011,7
3,3,-848,-992,0,3002,2
3,3,512,-832,225,3002,4
3,3,1344,-64,180,3006,4
3,3,1344,-128,180,3006,4
3,3,592,-352,0,58,12
3,3,-928,-544,270,58,4
3,3,288,-160,180,58,12
3,3,-400,1072,0,3001,4
3,3,48,1072,270,3001,4
3,3,368,1008,45,3001,7
3,3,336,864,45,3001,7
3,3,1264,528,0,3006,4
3,3,1264,352,0,3006,4
3,3,640,944,0,3002,9
