episode,mission,x_position,y_position,direction,type,flags
1,7,224,528,270,3,7
1,7,160,528,270,2,7
1,7,288,528,270,4,7
1,7,96,528,270,1,7
1,7,352,320,0,2028,7
1,7,32,320,0,2028,7
1,7,-992,352,0,2028,7
1,7,-992,192,0,2028,7
1,7,-864,192,0,2028,7
1,7,144,-816,0,2028,7
1,7,368,-816,0,2028,7
1,7,-352,-2048,0,9,15
1,7,-352,-2096,0,9,14
1,7,-416,-2048,0,9,12
1,7,-416,-2096,0,9,12
1,7,-304,-2256,0,2012,7
1,7,-272,-2256,0,2049,7
1,7,-240,-2256,0,2048,7
1,7,-208,-2256,0,2002,7
1,7,-176,-2256,0,2048,7
1,7,-32,-1760,0,2026,7
1,7,-608,-96,0,2013,7
1,7,-720,-1440,0,2025,7
1,7,-800,-1728,0,2028,7
1,7,-928,-1328,0,2028,7
1,7,1344,-192,0,6,7
1,7,-1024,272,0,5,7
1,7,-1424,384,0,13,7
1,7,-128,-96,180,9,6
1,7,-128,32,180,9,7
1,7,-192,32,180,9,7
1,7,-192,-96,180,3001,4
1,7,-128,-32,180,3001,4
1,7,-192,-32,180,3001,4
1,7,-224,48,0,2049,7
1,7,288,-1328,90,3001,6
1,7,352,-1328,90,3001,7
1,7,288,-1424,90,9,4
1,7,352,-1424,90,9,6
1,7,320,-1456,0,2048,7
1,7,320,-1376,90,9,4
1,7,320,560,0,2007,7
1,7,64,560,0,2007,7
1,7,256,400,0,2008,7
1,7,-1376,-272,0,9,7
1,7,-1312,-336,0,3002,6
1,7,-1280,-272,0,3001,6
1,7,-1376,-336,0,3002,4
1,7,-1344,-304,0,2008,7
1,7,32,-1744,0,2008,7
1,7,80,-1744,0,3001,6
1,7,80,-1792,0,3004,7
1,7,32,-1792,0,9,4
1,7,-1312,-2656,0,2005,7
1,7,528,-2048,0,2028,7
1,7,528,-1888,0,2028,7
1,7,928,-2032,0,2028,7
1,7,928,-1808,0,2028,7
1,7,1936,-2256,0,2028,7
1,7,1936,-2352,0,2028,7
1,7,1600,-2304,180,3001,6
1,7,1408,-2304,180,3001,6
1,7,1216,-2176,90,3004,7
1,7,1216,-2240,90,3004,7
1,7,1536,-2304,180,9,6
1,7,1344,-2304,180,9,6
1,7,1472,-2304,180,9,4
1,7,1280,-2304,180,9,4
1,7,1216,-2304,180,9,4
1,7,1632,-2272,180,9,4
1,7,528,-2016,0,2008,7
1,7,528,-1952,0,2008,7
1,7,1280,-2240,0,2011,7
1,7,1712,-2256,0,2012,7
1,7,1856,-2304,180,3001,14
1,7,1792,-2304,180,9,14
1,7,1728,-2304,180,9,12
1,7,352,-1984,0,3001,14
1,7,352,-2048,0,3004,7
1,7,448,-1920,180,9,4
1,7,1216,-1920,180,9,4
1,7,1152,-2048,135,3001,6
1,7,672,-2304,90,3004,7
1,7,768,-1984,90,3004,7
1,7,1024,-1856,180,3004,6
1,7,832,-1856,180,3004,4
1,7,960,-1984,180,3004,4
1,7,448,-1872,0,2001,7
1,7,512,-2624,0,3004,7
1,7,-64,-2560,0,3004,6
1,7,-80,-2480,135,3001,14
1,7,-112,-2512,135,3001,12
1,7,-144,-2544,135,3001,12
1,7,64,-2624,0,3004,6
1,7,64,-2368,270,3004,14
1,7,448,-2368,180,3004,14
1,7,320,-2336,180,3004,12
1,7,320,-2368,180,3004,12
1,7,320,-2400,180,3004,12
1,7,448,-1600,180,3004,12
1,7,608,-1856,180,9,12
1,7,496,-1872,0,2011,7
1,7,336,-2112,0,2011,7
1,7,-256,-2064,0,3004,15
1,7,-256,-1984,0,3004,14
1,7,-256,-2144,0,3004,14
1,7,-224,-2016,0,3004,12
1,7,-224,-2112,0,3004,12
1,7,-192,-2064,0,3004,12
1,7,-1408,-2752,0,2046,7
1,7,-64,-1664,0,2012,7
1,7,32,-1664,0,2012,7
1,7,-128,-2176,0,2035,0
1,7,-128,-2176,0,2035,0
1,7,-128,-2176,0,2035,0
1,7,-128,-2176,0,2035,7
1,7,-128,-1952,0,2035,7
1,7,528,-1984,0,2035,7
1,7,1280,-1824,0,2035,7
1,7,-16,-2352,0,2035,7
1,7,640,-160,0,48,7
1,7,528,32,0,48,7
1,7,128,400,0,2001,3
1,7,-256,-448,0,2008,7
1,7,640,-448,0,2008,7
1,7,-448,-64,45,3004,7
1,7,-448,-832,90,3004,7
