episode,mission,x_offset,y_offset,upper_texture,lower_texture,middle_texture,sector
2,1,0,40,-,-,STONE2,78
2,1,0,40,-,-,STONE2,78
2,1,0,0,-,-,STONE2,77
2,1,0,0,-,-,STONE2,77
2,1,0,0,-,-,STONE2,77
2,1,0,0,-,-,STONE2,77
2,1,0,0,-,-,STONE2,77
2,1,0,0,-,-,STONE2,77
2,1,0,0,-,-,STONE2,69
2,1,0,0,-,-,STONE2,69
2,1,0,0,STONE2,STONE2,-,77
2,1,0,0,AASTINKY,AASTINKY,-,78
2,1,0,0,BIGDOOR3,BIGDOOR3,-,69
2,1,0,0,AASTINKY,AASTINKY,-,78
2,1,0,0,-,-,STONE2,68
2,1,0,0,-,-,STONE2,68
2,1,0,0,NUKEDGE1,-,-,68
2,1,0,0,-,-,-,69
2,1,0,0,-,-,STONE2,74
2,1,0,0,-,-,STONE2,74
2,1,0,0,-,-,STONE2,74
2,1,0,0,-,-,STONE2,74
2,1,0,0,-,-,STONE2,74
2,1,0,0,-,-,STONE2,74
2,1,0,0,-,-,STONE2,74
2,1,0,0,-,-,STONE2,74
2,1,0,0,-,-,STONE2,7
2,1,0,0,-,-,STONE2,7
2,1,0,0,-,-,STONE2,7
2,1,0,0,-,-,STONE2,7
2,1,0,0,-,-,STONE2,7
2,1,0,0,-,-,STONE2,7
2,1,0,0,-,-,STONE2,8
2,1,0,0,-,-,STONE2,8
2,1,0,0,-,-,STONE2,20
2,1,0,0,STONE2,-,-,77
2,1,0,0,-,-,-,77
2,1,0,0,STONE2,-,-,74
2,1,0,0,-,-,-,77
2,1,0,0,STONE2,-,-,7
2,1,0,0,-,-,-,74
2,1,0,56,-,-,STONE2,76
2,1,0,56,-,-,STONE2,76
2,1,0,0,STONE2,-,-,75
2,1,0,0,-,-,-,76
2,1,0,0,STONE2,-,-,75
2,1,0,0,-,-,-,76
2,1,0,0,-,-,STONE2,11
2,1,0,0,-,-,STONE2,11
2,1,0,0,-,-,STONE2,10
2,1,0,0,-,-,STONE2,10
2,1,0,0,-,-,STONE2,10
2,1,0,0,-,-,STONE2,10
2,1,0,0,-,-,STONE2,10
2,1,0,0,-,-,STONE2,10
2,1,0,0,STONE2,-,-,10
2,1,0,0,-,-,-,11
2,1,0,0,LITE4,-,-,10
2,1,0,0,-,-,-,24
2,1,0,0,-,-,STONE2,20
2,1,0,0,-,-,STONE2,11
2,1,0,0,STONE2,-,-,20
2,1,0,0,STONE2,-,-,11
2,1,0,0,STONE2,STONE2,-,27
2,1,0,0,-,-,-,29
2,1,0,0,STONE2,STONE2,-,14
2,1,0,0,-,-,-,26
2,1,0,0,STONE2,STONE2,-,46
2,1,0,0,-,-,-,48
2,1,0,0,-,-,STONE2,24
2,1,0,0,-,-,LITE5,26
2,1,0,0,-,-,STONE2,14
2,1,0,0,-,-,LITE5,26
2,1,0,0,-,-,STONE2,25
2,1,0,0,-,-,STONE2,25
2,1,0,0,-,-,LITE5,29
2,1,0,0,-,-,STONE2,28
2,1,0,0,-,-,STONE2,14
2,1,0,0,-,-,STONE2,24
2,1,0,0,-,-,STONE2,46
2,1,0,0,-,-,LITE5,48
2,1,0,0,-,-,LITE5,48
2,1,0,0,-,-,STONE2,24
2,1,0,0,-,-,STONE2,24
2,1,0,0,-,-,STONE2,40
2,1,0,0,-,-,STONE2,41
2,1,0,0,-,-,LITE5,29
2,1,0,0,STONE2,STONE2,-,24
2,1,0,0,-,-,-,26
2,1,0,0,STONE2,STONE2,-,24
2,1,0,0,-,-,-,29
2,1,0,0,STONE2,STONE2,-,24
2,1,0,0,-,-,-,48
2,1,0,0,-,-,STONE2,14
2,1,0,0,-,-,STONE2,16
2,1,0,0,-,-,STONE2,12
2,1,0,0,-,-,STONE2,12
2,1,0,0,-,-,STONE2,16
2,1,0,0,-,-,STONE2,16
2,1,0,0,-,-,STONE2,14
2,1,0,0,-,-,STONE2,14
2,1,0,0,-,-,STONE2,14
2,1,0,0,-,-,STONE3,28
2,1,0,0,-,-,STONE3,41
2,1,0,0,-,-,STONE2,40
2,1,0,0,-,-,STONE2,40
