episode,mission,x_offset,y_offset,upper_texture,lower_texture,middle_texture,sector
2,7,0,0,-,-,GRAYTALL,195
2,7,0,0,-,-,GRAYTALL,133
2,7,0,0,-,-,BROWNGRN,134
2,7,0,0,-,-,BROWNGRN,134
2,7,0,0,-,-,GRAYTALL,134
2,7,0,0,-,-,BROWNGRN,133
2,7,0,0,-,-,Brown144,135
2,7,0,0,-,-,Tekwall1,135
2,7,0,0,-,-,Brown144,135
2,7,0,0,-,-,BROWNGRN,134
2,7,0,0,-,-,BROWNGRN,134
2,7,0,0,-,-,SHAWN2,119
2,7,0,0,-,-,SHAWN2,116
2,7,0,0,-,-,COMPSTA2,116
2,7,1,0,-,-,LITEBLU1,116
2,7,0,0,-,-,LITEBLU2,116
2,7,1,0,-,-,LITEBLU1,116
2,7,0,0,-,-,LITEBLU2,116
2,7,0,0,-,-,LITEBLU2,116
2,7,1,0,-,-,LITEBLU1,116
2,7,0,0,-,-,COMPSTA1,116
2,7,0,0,-,-,SHAWN2,116
2,7,1,0,-,-,LITEBLU1,132
2,7,1,0,-,-,LITEBLU1,81
2,7,0,0,-,-,SHAWN2,84
2,7,1,0,-,-,LITEBLU1,79
2,7,1,0,-,-,LITEBLU1,79
2,7,0,0,-,-,SHAWN2,79
2,7,0,0,-,-,SHAWN2,79
2,7,1,0,-,-,LITEBLU1,79
2,7,0,0,-,-,SHAWN2,84
2,7,0,0,-,-,SHAWN2,81
2,7,0,0,SHAWN2,SHAWN2,-,93
2,7,0,0,SUPPORT2,SUPPORT2,-,90
2,7,0,0,SHAWN2,SHAWN2,-,93
2,7,0,0,SUPPORT2,SUPPORT2,-,94
2,7,0,0,-,-,SHAWN2,81
2,7,0,0,-,-,SHAWN2,11
2,7,0,0,-,-,SHAWN2,11
2,7,1,0,-,-,LITEBLU1,11
2,7,0,0,-,-,LITEBLU3,11
2,7,1,0,-,-,LITEBLU1,11
2,7,12,0,-,-,LITEBLU3,11
2,7,1,0,-,-,LITEBLU1,12
2,7,0,0,-,-,LITEBLU3,12
2,7,1,0,-,-,LITEBLU1,12
2,7,1,0,-,-,LITEBLU1,12
2,7,0,0,-,-,LITEBLU3,12
2,7,1,0,-,-,LITEBLU1,12
2,7,1,0,-,-,LITEBLU1,12
2,7,0,0,-,-,LITEBLU3,12
2,7,1,0,-,-,LITEBLU1,12
2,7,0,0,-,-,SHAWN2,12
2,7,0,0,-,-,BROWN1,170
2,7,0,0,-,-,BROWN1,170
2,7,0,0,-,-,BROWN1,170
2,7,0,0,-,-,BROWN1,170
2,7,0,0,-,-,BROWN1,170
2,7,0,0,-,-,Brown1,171
2,7,0,0,-,-,Brown1,171
2,7,0,0,-,-,Brown1,194
2,7,0,0,-,-,Brown1,171
2,7,0,0,-,-,Brown1,171
2,7,0,0,-,-,Brown1,171
2,7,0,0,-,-,Brown1,171
2,7,0,0,-,-,Brown1,171
2,7,0,0,-,-,Brown1,171
2,7,0,0,-,-,BROWN1,189
2,7,0,0,-,-,BROWN1,189
2,7,0,0,-,-,BROWN1,189
2,7,0,0,-,-,BROWN1,189
2,7,0,0,-,-,BROWN1,189
2,7,0,0,-,-,BROWN1,189
2,7,0,0,-,-,BROWN1,189
2,7,0,0,-,-,BROWN1,189
2,7,0,0,-,-,BROWN1,193
2,7,0,0,-,-,BROWN1,193
2,7,0,0,-,-,BROWN1,193
2,7,0,0,-,-,BROWN1,193
2,7,0,0,-,-,BROWN1,192
2,7,0,0,-,-,BROWN1,192
2,7,0,0,-,-,BROWN1,192
2,7,0,0,-,-,BROWN1,189
2,7,0,0,-,-,BROWN1,193
2,7,0,0,-,-,Brown144,207
2,7,0,0,-,-,Brown144,208
2,7,0,0,-,-,Brown144,209
2,7,0,0,-,-,Brown144,210
2,7,0,0,-,-,Brown144,211
2,7,0,0,-,-,Brown144,212
2,7,0,0,-,-,Brown144,212
2,7,0,0,-,-,Brown144,211
2,7,0,0,-,-,Brown144,210
2,7,0,0,-,-,Brown144,209
2,7,0,0,-,-,Brown144,208
2,7,0,0,-,-,Brown144,207
2,7,0,0,BROWN1,STEP1,-,170
2,7,0,0,STEP1,STEP1,-,173
2,7,0,0,BROWNHUG,STEP1,-,206
2,7,0,0,BROWNHUG,STEP1,-,207
2,7,0,0,BROWNHUG,STEP1,-,207
2,7,0,0,BROWNHUG,STEP1,-,208
2,7,0,0,STEP1,STEP1,-,208
2,7,0,0,STEP1,STEP1,-,209
2,7,0,0,STEP1,STEP1,-,209
2,7,0,0,STEP1,STEP1,-,210
2,7,0,0,STEP1,STEP1,-,210
2,7,0,0,STEP1,STEP1,-,211
2,7,0,0,STEP1,STEP1,-,211
2,7,0,0,STEP1,STEP1,-,212
2,7,0,0,Brown144,Brown144,-,212
2,7,0,0,GRAYTALL,STEP1,-,195
2,7,24,0,-,-,support2,180
2,7,0,0,-,-,BROWN1,180
2,7,0,0,-,-,BROWN1,180
2,7,24,0,-,-,support2,180
2,7,0,0,-,-,Brown1,180
2,7,0,0,-,-,ROCKRED3,21
2,7,0,0,-,-,REDWALL,19
2,7,0,0,-,-,ROCKRED3,20
2,7,0,0,-,-,metal,43
2,7,0,0,-,-,STONE,50
2,7,0,0,-,-,STONE,50
2,7,0,0,-,-,metal,43
2,7,0,0,-,-,wood1,42
2,7,0,0,-,-,COMPOHSO,1
2,7,0,0,-,-,STONE,282
2,7,0,0,-,-,STONE,282
2,7,0,0,-,-,STONE,282
2,7,0,0,-,-,STONE,282
2,7,0,0,-,-,STONE,282
2,7,0,0,-,-,STONE,282
2,7,0,0,-,-,STONE,282
2,7,0,0,-,-,STONE,282
2,7,0,0,-,-,STONE,282
2,7,0,0,-,-,STONE,282
2,7,0,0,-,-,STONE,282
2,7,0,0,-,-,STONE,302
2,7,0,0,-,-,Brown144,284
2,7,0,0,-,-,Brown144,284
2,7,0,0,-,-,Brown144,284
