episode,mission,x_offset,y_offset,upper_texture,lower_texture,middle_texture,sector
1,2,0,0,-,-,STARTAN2,38
1,2,0,0,-,-,STARTAN2,38
1,2,0,0,-,-,STARTAN2,24
1,2,0,0,-,-,STARTAN2,38
1,2,0,0,-,-,STARTAN2,38
1,2,0,0,-,-,STARTAN2,38
1,2,0,0,-,-,STARTAN2,24
1,2,0,0,-,-,STARTAN2,24
1,2,16,0,-,-,STARTAN2,103
1,2,0,0,COMPUTE2,-,-,100
1,2,0,0,AASTINKY,AASTINKY,-,38
1,2,0,0,-,-,STARTAN2,24
1,2,80,0,-,-,STARTAN2,94
1,2,0,0,-,-,STARG3,83
1,2,0,0,-,-,STARG3,83
1,2,0,0,-,-,STARTAN2,94
1,2,0,0,-,-,STARG3,83
1,2,0,0,-,-,STARG3,84
1,2,0,0,-,-,STARG3,84
1,2,0,0,-,-,STARG3,98
1,2,0,0,-,-,STARTAN2,36
1,2,0,0,-,-,STARG3,145
1,2,0,0,-,-,STARG3,83
1,2,0,0,-,-,STARG3,84
1,2,0,0,-,-,STARG3,84
1,2,0,0,-,-,STARG3,84
1,2,0,0,-,-,STARG3,84
1,2,0,0,-,-,STARG3,84
1,2,0,0,-,-,STARG3,84
1,2,0,0,-,-,STARG3,84
1,2,0,0,-,-,STARG3,84
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,183
1,2,192,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,148
1,2,192,0,-,-,COMPTALL,183
1,2,0,0,-,-,COMPTALL,183
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,192,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,192,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,192,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,148
1,2,0,0,-,-,COMPTALL,183
1,2,0,0,-,-,COMPTALL,183
1,2,0,0,-,-,COMPTALL,183
1,2,192,0,-,-,COMPTALL,146
1,2,0,0,-,-,COMPTALL,146
1,2,0,0,-,-,COMPTALL,146
1,2,0,0,-,-,STARG3,88
1,2,0,0,-,-,STARG3,88
1,2,8,0,-,-,SUPPORT2,91
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,STARG3,83
1,2,192,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,STARG3,88
1,2,0,0,-,-,COMPTALL,87
1,2,192,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,192,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,192,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,192,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,-,-,COMPTALL,87
1,2,0,0,STARG3,STEP6,-,83
1,2,0,0,STONE,-,-,93
1,2,0,0,-,-,SLADWALL,144
1,2,0,0,COMPUTE2,-,-,100
1,2,0,0,AASTINKY,AASTINKY,-,38
1,2,0,0,-,-,STARTAN2,100
1,2,96,0,-,-,STARTAN2,101
1,2,120,0,-,-,STARTAN2,102
1,2,104,0,-,-,STARTAN2,102
1,2,0,0,-,-,STARTAN2,101
1,2,24,0,-,-,STARTAN2,100
1,2,0,0,COMPUTE2,-,-,100
1,2,0,0,AASTINKY,AASTINKY,-,38
1,2,0,8,-,-,SLADWALL,188
1,2,0,0,-,-,SLADWALL,186
1,2,0,8,-,-,SLADWALL,188
1,2,0,0,-,-,STARTAN2,38
1,2,0,0,-,-,SLADWALL,189
1,2,0,0,-,BROWN96,-,102
1,2,0,0,-,-,-,103
1,2,0,0,-,BROWN96,-,102
1,2,0,0,-,-,-,103
1,2,0,0,-,BROWN96,-,102
1,2,0,0,-,-,-,103
1,2,0,0,-,BROWN96,-,101
1,2,0,0,-,-,-,102
1,2,0,0,-,BROWN96,-,101
1,2,0,0,-,-,-,102
1,2,0,0,-,BROWN96,-,101
1,2,0,0,-,-,-,102
1,2,0,0,-,BROWN96,-,100
1,2,0,0,-,-,-,101
1,2,0,0,-,BROWN96,-,100
1,2,0,0,-,-,-,101
1,2,0,0,-,BROWN96,-,100
1,2,0,0,-,-,-,101
1,2,0,0,COMPTILE,-,-,148
1,2,0,0,-,-,-,183
1,2,0,0,-,-,SLADWALL,181
1,2,0,0,-,-,LITE3,28
1,2,0,0,-,-,STARTAN3,35
1,2,0,0,-,-,LITEBLU3,37
1,2,0,0,-,-,STARTAN2,36
1,2,0,0,-,-,STARTAN2,36
1,2,0,0,-,-,LITEBLU3,37
1,2,0,0,-,-,STARTAN2,36
1,2,0,0,-,-,STARTAN3,35
1,2,0,0,STONE,AASTINKY,-,35
1,2,0,0,-,-,-,37
1,2,0,0,compute1,AASTINKY,-,36
1,2,0,0,-,-,-,37
1,2,0,0,-,-,LITE3,28
1,2,0,0,STARTAN2,COMPTILE,-,27
1,2,0,0,-,-,-,28
1,2,0,0,-,-,STARTAN2,38
1,2,0,0,-,-,STARTAN2,24
1,2,0,0,-,-,STARTAN2,103
1,2,0,0,-,-,STARTAN2,24
1,2,0,0,-,-,STARTAN2,24
1,2,0,0,STARTAN2,-,-,24
1,2,0,0,AASTINKY,AASTINKY,-,27
1,2,0,0,STARTAN2,-,-,24
1,2,0,0,AASTINKY,AASTINKY,-,38
1,2,0,0,STARTAN2,STEP3,-,24
1,2,0,0,-,-,-,30
1,2,0,0,-,STEP3,-,30
1,2,0,0,-,-,-,31
1,2,0,0,STARTAN2,STEP3,-,31
1,2,0,0,-,-,-,32
1,2,0,0,-,-,SUPPORT2,31
1,2,0,0,-,-,SUPPORT2,30
1,2,0,0,-,-,SUPPORT2,30
1,2,0,0,-,-,SUPPORT2,31
1,2,0,0,STARTAN2,-,-,24
1,2,0,0,AASTINKY,AASTINKY,-,38
1,2,0,0,STARTAN2,-,-,103
1,2,0,0,-,-,-,33
1,2,0,0,STARTAN2,STARTAN2,-,32
1,2,0,0,-,-,-,33
1,2,0,0,-,-,LITE5,32
1,2,0,0,-,-,LITE5,32
1,2,0,0,-,-,STARTAN2,24
1,2,0,0,-,-,LITE4,114
